ABBOTSBURY-EAST-COTTAGE,,,,,,,,,,
Grid ref,SY578852,Long,-2.59779,Lat,50.66551,Elevation,150,ft,,
Station no,1565,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.61
February,,,,,,,,,,3.31
March,,,,,,,,,4.24,3.82
April,,,,,,,,,2.33,2.46
May,,,,,,,,,0.89,1.78
June,,,,,,,,,0.85,1.01
July,,,,,,,,,1.97,3.17
August,,,,,,,,,1.48,4.85
September,,,,,,,,,0.21,6.12
October,,,,,,,,,3.57,8.61
November,,,,,,,,,4.9,4.62
December,,,,,,,,,7.46,3.84
Total,,,,,,,,,,47.2
,,,,,,,,,,
 East Cottage somewhere in Rodden Row,,,,,,,,,,
,,,,,,,,,,
1959 Gauge moved 500yrds to East Cottage on death of observer (Feb),,,,,,,,,,
1960Apr 28th Inspection Site satisfactory Gauge rusting and any bottle overflow would be lost,,,,,,,,,,
,,,,,,,,,,
SRC_ID 8022,,,,,,,,,,
1924-1987,,,,,,,,,,
