MIDDLESHAW NR KENDAL,,,,,,,,,,
Grid ref,SD557891,Long,-2.6821428,Lat,54.295585,Elevation,330,ft,,
Station no,RR6248,,,,,,,,,
,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809
January,,,,,,,,,,4.48
February,,,,,,,,,,5.74
March,,,,,,,,,,0.62
April,,,,,,,,,,1.5
May,,,,,,,,,,2.66
June,,,,,,,,,,3.79
July,,,,,,,,,,3.08
August,,,,,,,,,,9.59
September,,,,,,,,,,6.11
October,,,,,,,,,,1.1
November,,,,,,,,,,2.56
December,,,,,,,,,,8.85
Total,,,,,,,,,,50.08
,,,,,,,,,,
No locational information on record,,,,,,,,,,
Middleshaw a hamlet in 1860s; NGR for centre of hamlet,,,,,,,,,,
