"ROYDON PUMPING STATION",,,,,,,,,,,,
Grid ref,TL412102,Long,0.045083,Lat,51.772670,,,,,,,
Station no,1238/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.33,1.81,0.59,0.93,1.66,2.92,0.92,1.91,2.00,1.94,,
February,5.25,0.43,1.69,1.99,1.13,0.26,2.52,2.08,0.03,1.58,,
March,2.82,2.14,0.37,1.87,0.91,0.75,1.10,0.87,1.81,0.91,,
April,2.92,1.48,1.49,0.40,0.31,1.05,0.18,1.09,2.28,0.44,,
May,1.95,0.69,2.20,1.60,3.93,0.51,0.59,2.70,1.09,1.49,,
June,0.88,1.16,1.95,2.42,2.11,2.53,1.53,5.36,1.76,1.91,,
July,0.91,0.59,2.33,2.03,0.17,4.47,3.26,4.48,2.03,2.19,,
August,3.90,3.38,2.07,2.73,1.48,4.83,1.70,3.17,0.80,2.44,,
September,3.05,2.43,1.62,1.29,1.63,1.91,2.63,3.87,0.08,4.09,,
October,0.60,2.13,2.57,1.66,3.37,2.01,1.69,2.35,1.45,5.49,,
November,4.85,3.23,1.25,4.13,0.71,0.55,2.07,1.72,2.27,3.07,,
December,1.48,2.26,0.43,1.95,1.60,2.65,2.07,2.36,3.49,2.46,,
Total,30.94,21.73,18.56,23.00,19.01,24.44,20.26,31.96,19.09,28.01,,
Calc annual,30.94,21.73,18.56,23.00,19.01,24.44,20.26,31.96,19.09,28.01,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
