INVERURIE MANAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 736 199,Long,-2.438358,Lat,57.269565,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,2.57,1.52,2.44,0.72,2.5,0.91,2.52,2.84,1.58,2.43,1.78,1.36,,,0.92,2.6,2.3,,,,,,
February,,,,,,,,3.18,0.8,2.83,2.58,3.85,0.64,3.58,1.37,2.05,1.05,0.61,-999,,,0.35,2.36,2.85,,,,,,
March,,,,,,,,2.59,3.56,2.84,1.01,2.2,2.9,5.48,3.64,1.8,1.75,2.04,-999,,,2.21,1.1,0.45,,,,,,
April,,,,,,,,2.95,1.04,3.54,2.52,1.1,3.5,1.59,1.38,1.51,0.95,2.36,1.5,,,0.5,0.8,1.24,,,,,,
May,,,,,,,,2.37,2.24,1.63,0.63,2.61,0.95,1.42,1.53,4.12,3.68,1.47,0.97,,,2.29,2.47,1.03,,,,,,
June,,,,,,,,4.42,2.69,3.85,2.79,2.02,3.52,1.62,0.95,1.16,0.95,0.42,2.28,,,0.28,1.65,2.25,,,,,,
July,,,,,,,,3.05,1.09,2.94,4.23,3.73,3.02,4.35,2.25,1.36,2.65,0.95,3.76,,,3.45,2.03,2.17,,,,,,
August,,,,,,,,6.61,4.92,3.95,0.47,3.52,2.4,2.62,1.61,2.8,1.06,2.63,1.81,,,3.98,3.2,3.54,,,,,,
September,,,,,,,,2.36,2.93,1.93,2.71,2.99,2.85,3.62,1.85,3.46,1.21,2.81,1.28,,,3.7,2.11,3.85,,,,,,
October,,,,,,,,2.1,4.06,1.4,3.81,4.64,3.1,1.95,3.43,2.55,2.25,2.83,1.98,,,1.6,5.27,2.05,,,,,,
November,,,,,,,,4.36,4.69,3.01,2.91,1.86,4.91,1.18,3,2.62,2.32,2.93,3.28,,,3.84,1.52,3.8,,,,,,
December,,,,,,,,2.53,4.12,0.66,4.31,1.1,5.35,2.53,1.25,1.88,3.2,3.12,1.15,,,1.42,1.31,1.58,,,,,,
Total,,,,,,,,39.09,33.66,31.02,28.69,32.12,34.05,32.46,25.1,26.89,23.5,23.95,24.9,,,24.54,26.42,27.11,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888 FM bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
