MENSLAWS HAWICK,,,,,,,,,,
Grid ref,NT592204,Long,-2.647013,Lat,55.475709,Elevation,220,ft,,
Station no,RR8554,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,2,4,1.08,1.23,,,,
February,,,1.7,0.68,1.3,0.8,,,,
March,,,4.2,0.94,2.7,1.12,,,,
April,,,2.23,1.87,0.84,0.78,,,,
May,,,2.82,1.23,1.13,6.3,,,,
June,,,3.28,3.93,0.8,0.1,,,,
July,,,2.35,0.8,1.15,2.3,,,,
August,,,3.38,3.6,0.7,3.2,,,,
September,,,1.28,2.92,2.9,0.52,,,,
October,,,2.87,2.32,4.52,4.6,,,,
November,,,0.32,2.13,2.15,1.63,,,,
December,,,2.18,2.15,1.84,2.3,,,,
Total,,,28.61,26.57,21.11,24.88,,,,
