"WEST HARTLEPOOL (WATERWORKS)",,,,,,,,,,,,
Grid ref,NZ509334,Long,-1.211847,Lat,54.693074,,,,,,,
Station no,3525,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.45,1.78,0.79,2.41,1.81,3.44,1.39,1.77,3.12,4.44,,
February,1.59,0.59,1.76,1.18,1.79,1.50,1.76,3.29,0.57,2.06,,
March,3.26,1.37,0.11,1.26,1.03,0.75,0.99,3.21,0.53,1.33,,
April,0.99,1.66,1.86,0.20,0.77,1.23,0.36,1.53,1.58,0.44,,
May,4.16,1.23,1.69,1.73,1.27,0.44,1.53,3.01,0.35,1.11,,
June,1.34,1.13,1.78,1.90,2.48,2.96,2.14,2.63,1.84,0.36,,
July,1.53,0.97,2.18,1.40,1.24,2.54,3.30,2.31,2.69,3.94,,
August,4.52,1.39,2.77,4.08,0.89,6.92,2.74,2.05,0.25,2.05,,
September,1.19,4.82,1.07,1.60,1.41,2.00,3.08,1.84,0.93,1.88,,
October,1.51,2.19,1.13,3.66,1.39,1.16,1.81,1.00,1.24,5.99,,
November,3.69,3.60,1.23,2.42,2.01,1.21,1.43,0.91,3.47,2.95,,
December,3.11,2.18,0.92,1.82,2.37,1.61,0.73,2.45,3.13,2.89,,
Total,28.34,22.91,17.29,23.66,18.46,25.76,21.26,26.00,19.70,29.44,,
Calc annual,28.34,22.91,17.29,23.66,18.46,25.76,21.26,26.00,19.70,29.44,,
Difference,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
