MOSS LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD905124,Long,-2.1450524,Lat,53.608069,Elevation,470,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,RR212 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January ,,,,,,1.55,0.85,2.15,2.7,0.31,0.2,0.4,1.2,0.71,6.25,3.41,2.42,2.24,0.54,1.65,3.17,,,,,1.8,4.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February ,,,,,,1.05,2.2,0.6,1.25,1.2,2.6,1.23,0.59,3.15,2.57,3.31,2.1,2.92,1.15,1.87,0.85,,,,,1.05,0.65,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March ,,,,,,0.8,0.05,3.3,0.9,0.05,1.1,3.85,2.35,0.76,2.28,3.04,3.7,0.98,1.92,3.6,0.15,,,,,1.6,1.35,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,,,,,,0.95,1.3,0.4,3.5,2.7,2.45,1.7,1.82,2.4,0.91,0.91,2.21,0.88,2.6,0.67,0.35,,,,,1.4,2.4,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,,,,,,3.35,0.15,1.05,1,0.7,2.4,0.6,1.87,0.86,0.64,1.95,0,0.94,2.85,0.05,2.53,,,,,1.08,0.8,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June ,,,,,,2.75,0.55,2.05,1.15,2.2,3,2.3,2.67,2.26,2.65,1.51,3.75,1.69,3,2.25,2.2,,,,,2.55,1.7,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July ,,,,,,0.8,2.75,1.15,9.4,2.75,4.7,2.43,1.65,3.22,4.75,1.67,4.95,2.98,3.23,3.85,3.85,,,,,2.85,2.75,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,,,,,,3.25,1.95,2.75,4.95,6.15,2.4,2.28,4.18,3.3,2,2.45,1.73,1.62,3.95,3.85,3.48,,,,,5,2.45,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,,,,,,1.6,1.55,2.05,2.4,4.45,5.45,2.85,0.86,2.32,1.83,3.96,3.3,2.44,0.98,4.2,3.28,,,,,2.55,0.85,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,,,,,,4.1,3.35,3.55,2.4,2.75,1.35,3.17,3.56,3.17,1.76,3.35,3.1,4.65,3.5,2.05,1.3,,,,,3.45,2.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November ,,,,,,4.78,1.8,3.15,4.3,2.35,3.95,5.15,3.8,4.9,2.59,3.7,6.6,3.2,1.67,3.23,3.18,,,,,2.15,1.76,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December ,,,,,,1.8,2.2,4.15,4.45,0.35,1.2,2.53,4.25,7.15,1.02,1.1,4.65,3.27,1.75,1.95,0.05,,,,,3.95,1.05,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
