LEEDS-CHAPEL-ALLERTON-CHANDOS-GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE314376,Long,-1.5243677,Lat,53.833715,Elevation,425,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3282/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.59,,,,,,,2.48,5.91,1.22,1.29,2.07,2.66,0.38,2.23,,,,,,
February,,,,,,,,,,2.12,,,,,,,4.12,1.48,1.35,4.44,2.9,0.51,2.09,2.75,,,,,,
March,,,,,,,,,2.23,2.1,,,,,,,4.79,1.17,1.18,0.93,3.09,1.72,0.72,1.79,,,,,,
April,,,,,,,,,1.04,3.29,,,,,,,2.46,1.7,2.54,3.11,1.03,0.92,2.47,0.18,,,,,,
May,,,,,,,,,1.54,0.69,,,,,,2.34,4.57,0.97,2.07,1.44,5.26,1.6,1.42,3.34,,,,,,
June,,,,,,,,,2.15,0.76,,,,,,1.75,2.5,3.3,0.5,0.94,0.81,1.68,2.39,1.72,,,,,,
July,,,,,,,,,4.63,5.03,,,,,,3.49,3.69,1.28,2.84,3.41,2.59,1.05,2.82,1.37,,,,,,
August,,,,,,,,,1.71,0.47,,,,,,3.86,0.41,4.18,2.07,5.57,5.71,2.23,2.95,7.11,,,,,,
September,,,,,,,,,1.12,1.79,,,,,,4.44,1.07,0.88,1.2,3.07,2.47,2.94,1.88,2.64,,,,,,
October,,,,,,,,,2.29,3.77,,,,,,1.22,0.95,1.15,3.44,1.17,1.25,3.64,1.76,3.89,,,,,,
November,,,,,,,,,3.55,5.02,,,,,,5.46,2.1,1.21,4.17,4.79,6.52,1.64,2.66,4.66,,,,,,
December,,,,,,,,,1.62,2.52,,,,,,2.51,2.26,2.13,3.33,2.02,2.79,2.11,1.3,2.58,,,,,,
Total,,,,,,,,,,30.15,,,,,,,31.4,25.36,25.91,32.18,36.49,22.7,22.84,34.26,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Chandos Gardens. Altitudes match. Relationship to later gauge position, church and station are inconsistent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved 1/1/1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
