LEEDS-CHAPEL-ALLERTON-GRANGE-RISE,,,,,,,,,,
Grid ref,SE305379,Long,-1.5380128,Lat,53.836464,Elevation,450,ft.,,
Station no,3282/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.07,4.25,1.36,2.13,2.74,5.48
February,,,,,2.37,1.54,2.9,5.36,0.06,2.01
March,,,,,2.12,0.83,1.74,1.87,1.29,2.28
April,,,,,0.76,2.48,0.2,0.48,3.72,0.82
May,,,,,2.78,0.71,1.68,3.28,0.99,1.03
June,,,,,1.34,2.71,1.64,3.8,1.23,1.01
July,,,,,0.8,3.73,3.52,4.38,1.9,3.8
August,,,,,0.87,6.33,4.72,2.37,1.16,3.84
September,,,,,1.23,3.15,4.46,2.63,0.21,3.6
October,,,,,1.78,1.4,1.98,1.49,2.21,5.32
November,,,,,2.25,0.42,1.68,0.71,3.43,5.25
December,,,,,3.74,2.46,3.05,3.66,3.89,2.61
Total,,,,,22.11,30.01,28.93,32.16,22.83,37.05
,,,,,,,,,,
NGR is form 1950s record and is Grange Rise. Stated altitude is 50 ft too high. Distance of move and relationships to church and station are inconsistent.,,,,,,,,,,
