NORTHENDEN-WYTHENSHAWE-HALL-MONTHLY-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ895898,Long,-2.1594007,Lat,53.404913,Elevation,114,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.97,1.77,2.18,2.59,2.6,1.78,4.04,1.19,2.05,1.47,3.39,1.13,3.02,3.1,1.9,4.49,2.06,1.95,2,3.6,3.42,4.17,3.11,,,,,,,,
February,2.78,1.38,0.99,2.3,2.84,1.55,3.13,1.64,2.68,1.12,2.62,2.44,1.01,1.32,2,2.38,3.05,1.03,3.45,0.57,2.82,0.45,3.45,,,,,,,,
March,0.71,1.84,1.59,3.84,1.58,3.21,2.48,2.62,2.26,2.75,0.57,1.35,4.11,3.28,3.81,1.3,1.69,1.61,1.29,5.12,3.01,2.45,1.83,,,,,,,,
April,2.12,2.03,2.16,1.51,1.85,2.83,1.32,1.17,2.05,2.51,2.78,2.13,0.37,4.06,1.11,1.4,2.08,1.39,1.02,1.71,4.5,1.2,2.35,,,,,,,,
May,1.51,0.64,3.51,2.67,2.08,0.59,2.7,3.76,1.86,1.54,2.36,0.57,2.36,2.28,1.65,1.49,2.4,2.33,1.99,1.3,4.11,2.21,1.18,,,,,,,,
June,3.68,1.7,1.34,1.54,0.59,2.41,1.46,4.47,1.8,1.96,3.42,2.85,3.42,2.24,1.9,2.03,3.2,1.81,1.6,1.29,2.53,0.13,2,,,,,,,,
July,2.08,3.26,1.63,2.86,1.38,1.84,1.51,2.37,3.74,4.18,4.43,0.35,4.2,1.35,4.26,4.44,2.05,1.98,3.51,1.73,5.85,0.97,3.78,,,,,,,,
August,4.65,1.51,3.4,3.76,4.08,3.89,2.59,3.14,3.3,2.87,4.68,1.99,6.02,1.98,2.74,3.67,1.78,5.8,2.56,3.09,1.73,4.21,4.44,,,,,,,,
September,0.9,0.69,1,4.8,1.3,2.35,1.64,0.6,3.16,2.17,0.2,3.56,1.63,1.32,2.34,0.48,2.55,1.39,7.69,1.7,2.54,0.99,2.73,,,,,,,,
October,3.86,2.86,3.53,5.93,0.98,2.61,5.24,3.16,1.55,5.38,3.2,2.66,3.19,1.94,1.56,1.27,3.77,4.96,2.51,2.35,1.43,1.91,0.22,,,,,,,,
November,1.83,3.26,1.57,3.24,2.01,3.27,2.16,2.52,2.82,1.05,4.28,2.61,2.24,2.76,3.49,1.5,2.27,2.95,1.44,2.07,1,2.01,2.2,,,,,,,,
December,3.75,4,1.96,1.09,2.4,0.45,3.45,2.69,2.35,6.37,2.3,4.93,3.3,2.34,4.92,5.14,2.74,1.39,5.82,5.35,2.36,4.13,4.08,,,,,,,,
Total,31.84,24.94,24.86,36.13,23.69,26.78,31.72,29.33,29.62,33.37,34.23,26.57,34.87,27.97,31.68,29.59,29.64,28.59,34.88,29.88,35.3,24.83,31.37,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Wythenshawe Hall. Altitudes match. A note on the 1900's record states there is 285 yards between the main gauge and the monthly gauge. NGR is +/- 250m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
