HATHERLEIGH-WINSFORD,,,,,,,,,,,,,,,,,,,,
Grid ref,SS450010,Long,-4.19946,Lat,50.78843,Elevation,550,ft,,,,,,,,,,,,
Station no,RR4880,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,0.89,3.37,3.79,3.72,5.66,2.6,3.9,3.47,1.25,2.81,3.56,,,,,,,,,
February,4.63,4.7,3.09,7.19,3.6,4.34,0.63,0.63,1.79,4.39,0.37,,,,,,,,,
March,1.42,3.81,4.1,1.35,4.14,2.53,2.89,0.77,5.34,3.01,0.39,,,,,,,,,
April,3.63,0.47,4.18,1.46,1.66,3.44,2.32,0.22,1.51,1.41,2.71,,,,,,,,,
May,0.99,1.71,5.49,1.44,1.86,3.27,2.86,3.43,1.76,3.07,2.01,,,,,,,,,
June,2.82,3.39,3.93,3.74,1.33,3.63,1.26,0,3.43,0.71,1.93,,,,,,,,,
July,6.09,2.85,8.77,4.56,3.45,1.56,3.21,2.01,5.11,2.03,4.73,,,,,,,,,
August,1.19,5.25,2.52,3.53,2.34,1.28,2.04,1.45,3.69,3.11,3.31,,,,,,,,,
September,2.69,2.6,4.64,5.71,3.92,8.34,2.19,0.86,0.79,1.09,0.79,,,,,,,,,
October,6.71,2.92,6.9,4.22,2.73,8.28,5.28,4.31,2.66,3.61,3.57,,,,,,,,,
November,4.25,5.23,7.37,7.58,3.3,4.92,5.85,4.22,5.63,1.01,2.83,,,,,,,,,
December,6.58,3.86,9.6,2.13,7.3,3.16,4.37,3.1,5.6,2.81,2.31,,,,,,,,,
Total,41.89,40.16,64.38,46.63,41.29,47.35,36.8,24.47,38.56,29.06,28.51,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BR has no entry for this site in 1879,,,,,,,,,,,,,,,,,,,,
NB Annual values rejected from Survey Map 1929,,,,,,,,,,,,,,,,,,,,
