INVERSHIN,,,,,,,,,,,,,,,,,,,,
Grid ref,NH573967,Long,-4.411841,Lat,57.936711,Elevation,20,ft,,,,,,,,,,,,
Station no,RR135,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,2.1,1.9,0.5,1.1,7.3,3.2,3.1,,,,,,,,
February,,,,,,1.9,2.8,3.1,7.2,5.5,5.3,1.9,,,,,,,,
March,,,,,,2.3,3.1,1.1,2.3,2.9,2.6,4.9,,,,,,,,
April,,,,,,0.5,2,4.2,2.1,2.1,1.4,2.1,,,,,,,,
May,,,,,,1.85,1.1,2.7,0.8,1.2,3.1,1.9,,,,,,,,
June,,,,,,1.3,3,2.6,4.5,2.9,4,1.3,,,,,,,,
July,,,,,,2.4,2.5,2.7,3,4.2,2.5,2.6,,,,,,,,
August,,,,,,3.4,7.1,1.7,2.5,2.7,4.5,2.3,,,,,,,,
September,,,,,,1.7,2.6,3.3,0.8,3.2,2.1,1,,,,,,,,
October,,,,,,4.8,4.6,4.3,2.7,2.3,4.9,4.4,,,,,,,,
November,,,,,,4.15,3.3,3.1,4.7,1.4,3.7,2.7,,,,,,,,
December,,,,,,6.3,3.9,3.7,1.3,2.7,9.1,1.5,,,,,,,,
Total,,28.5,,27.75,,32.7,37.9,33,33,38.4,46.4,29.7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Approx Location based on subsequent Gauge,,,,,,,,,,,,,,,,,,,,
