HORNCASTLE - VARIOUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF263698,Long,-0.110,Lat,53.210,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937
January,1.92,0.84,0.80,2.66,1.12,1.36,1.35,2.02,1.69,3.09,3.41,1.46,3.02,0.71,3.22,1.74,3.29,2.01,2.09,2.76,1.79,1.84,1.65,2.99,1.67,3.64,1.94,2.25,2.78,1.01,1.76,1.61,2.22,2.62,3.87
February,0.52,3.71,0.80,2.38,1.73,1.74,0.79,2.42,1.12,1.24,0.62,0.96,2.91,3.83,0.96,1.31,2.62,1.42,0.35,2.52,3.84,1.00,2.13,1.52,2.05,1.57,0.77,1.15,2.45,0.91,2.33,1.04,2.19,1.71,2.28
March,3.26,1.59,2.22,2.42,1.58,2.23,3.68,0.58,2.47,2.24,2.36,2.50,1.56,3.84,1.63,0.75,2.56,2.81,0.63,1.78,1.63,0.66,1.34,0.39,2.13,1.75,0.36,1.79,0.81,1.49,2.34,1.82,0.37,0.86,3.02
April,1.98,1.01,1.75,0.63,1.74,2.56,1.69,2.39,1.26,0.19,1.98,1.20,0.54,1.60,2.44,1.57,2.63,3.76,1.07,1.85,0.89,1.23,2.17,2.18,1.78,0.91,0.66,2.79,3.17,2.66,1.21,1.91,2.72,1.55,2.88
May,2.28,1.54,0.96,1.33,3.79,1.50,1.11,2.65,0.96,1.83,1.79,1.02,1.25,2.13,1.14,2.46,0.55,5.81,1.78,1.00,2.01,2.50,3.99,2.03,0.60,1.22,1.13,1.70,1.80,3.65,1.59,1.23,0.23,0.68,
June,0.97,0.87,2.18,1.55,2.41,1.34,5.35,2.48,4.67,3.81,0.82,1.84,0.55,3.03,1.28,1.15,0.93,1.72,0.53,0.89,0.53,1.23,0.04,2.62,2.99,1.96,1.49,1.47,3.51,0.38,1.67,1.04,1.79,3.17,
July,2.34,2.92,1.31,0.55,1.55,3.64,4.35,2.47,0.15,3.54,0.87,2.59,4.96,1.55,0.98,2.56,3.53,2.98,0.34,4.70,2.64,2.51,0.61,1.67,2.53,0.98,1.94,3.55,4.63,3.61,1.77,1.78,0.38,4.81,
August,4.41,2.89,3.31,2.11,1.78,2.64,3.64,4.21,2.14,5.58,0.62,1.19,2.71,2.67,5.25,1.47,3.35,1.40,3.27,2.67,2.07,2.48,1.50,2.03,3.46,2.61,1.30,2.35,4.30,1.31,0.91,2.44,2.31,1.26,
September,3.45,2.95,2.44,1.40,0.73,1.62,1.24,0.76,1.94,1.84,1.57,0.55,0.74,1.84,0.92,3.48,2.23,1.88,0.55,3.20,3.34,2.09,2.80,0.73,3.40,0.32,0.49,3.42,2.59,2.02,1.26,1.27,3.86,1.78,
October,6.72,1.74,2.25,5.08,4.61,1.14,3.15,2.03,2.16,2.04,5.03,2.27,1.43,2.16,3.08,1.54,2.46,1.92,1.32,1.17,1.96,5.12,2.59,2.94,2.21,4.36,2.69,1.59,0.91,3.91,3.77,1.11,2.97,2.45,
November,1.99,1.07,2.73,3.67,2.40,1.24,0.53,2.83,2.43,2.86,2.25,2.60,2.82,3.48,1.81,1.82,2.36,0.50,1.56,1.32,3.02,1.60,3.21,2.48,3.39,2.22,4.20,3.19,2.60,1.69,2.28,1.98,3.75,2.53,
December,1.13,1.94,0.88,1.83,2.71,1.84,4.95,3.62,3.95,3.03,0.45,5.53,4.58,2.86,1.87,3.21,4.15,2.84,1.61,3.52,2.59,2.29,2.21,0.94,2.86,2.53,4.34,2.34,1.33,0.75,0.51,4.46,2.25,1.42,
Total,30.97,23.07,21.63,25.61,26.15,22.85,31.83,28.46,24.94,31.29,21.77,23.71,27.07,29.70,24.58,23.06,30.66,29.05,15.10,27.38,26.31,24.55,24.24,22.52,29.07,24.07,21.31,27.59,30.88,23.39,21.40,21.69,25.04,24.84,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# These readings cover two or three not-well-identified locations as the gauge moved around in Horncastle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The initial location seems likely to be at Stanhope Villas, where the observer Mr H.R. Maynard lived.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The grid reference of Stanhope Villas is provided.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# A move is recorded on the 1930s sheet at the end of July 1931.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The gauge moved to the Langton Hill site at the end of April 1937.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
