HORNCASTLE - LANGTON HILL,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF251695,Long,-0.128,Lat,53.208,Elevation,120,ft,,,,,,,,,,,,,,,,
Station no,2555,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.28,4.20,2.22,1.78,2.79,5.40,2.46,2.10,1.68,2.39,4.17,0.94,1.04,2.55,1.86,1.04,1.45,1.60,4.56,1.47,2.18,2.98,4.66
February,,1.20,0.89,2.13,3.24,1.24,0.91,2.48,2.31,2.13,2.39,1.08,0.65,4.29,3.08,0.81,2.14,2.62,3.17,1.48,1.81,3.50,0.20,2.25
March,,0.25,2.33,1.71,2.77,1.27,0.48,0.46,0.98,1.17,4.43,0.40,1.11,0.55,3.37,3.26,0.83,1.81,2.26,0.87,1.39,2.08,2.00,1.36
April,,0.25,1.89,1.32,0.82,0.73,0.94,2.09,1.95,1.97,1.86,1.34,1.74,2.54,2.02,1.22,2.84,0.32,1.04,1.04,0.27,0.84,1.58,0.89
May,3.51,2.02,1.26,1.21,1.65,3.20,2.54,1.66,1.40,1.12,0.60,1.74,1.94,2.57,,1.20,2.46,2.83,2.98,0.62,1.63,2.87,0.35,0.61
June,1.50,1.05,3.08,1.04,0.32,1.29,2.90,1.72,2.14,3.20,2.30,2.76,0.63,2.67,0.91,2.03,2.89,1.75,3.24,2.84,1.81,3.93,0.91,0.29
July,3.56,3.95,3.06,7.42,5.02,2.95,0.97,2.14,1.57,2.86,3.24,1.63,2.80,2.62,0.99,0.40,1.70,2.08,0.62,3.48,3.12,4.90,2.11,2.97
August,0.91,3.02,1.50,0.98,3.53,1.99,3.01,2.54,2.47,3.64,0.03,3.60,1.42,1.97,4.61,3.57,2.82,4.10,0.59,3.96,3.18,1.73,1.27,3.08
September,1.27,3.39,2.21,0.86,0.90,1.76,2.84,3.27,2.31,3.38,1.23,2.32,0.75,4.46,1.14,2.99,0.79,1.87,1.06,1.43,3.79,2.10,0.16,2.27
October,1.94,2.36,3.99,3.01,3.17,2.11,1.23,3.84,2.12,2.18,0.21,1.91,4.28,1.04,1.64,2.35,2.71,3.36,1.34,1.10,1.49,1.83,1.67,12.26
November,1.66,2.38,4.40,3.85,3.01,2.39,3.12,4.21,0.95,5.11,1.31,0.84,3.47,4.30,4.10,2.76,1.54,4.01,1.05,1.07,1.92,0.82,2.07,3.19
December,2.48,4.38,2.59,1.95,0.55,1.72,0.66,1.05,2.74,2.77,2.62,2.55,1.90,2.15,1.51,1.96,0.92,2.35,1.67,1.24,1.70,2.86,3.49,3.70
Total,,26.53,31.40,27.70,26.76,23.44,25.00,27.92,23.04,31.21,22.61,24.34,21.63,30.20,,24.41,22.68,28.55,20.62,23.69,23.58,29.64,18.79,37.53
,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/135,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/219,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/218,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
# The February 1942 figure is identified as part-estimate on the sheet and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,
# The May 1951 figure is as an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
"# The gauge was at a different location in Horncastle for the same observer, Mr F.J.Harvey, prior to this.",,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
"# The large October 1960 figure includes a contribution of over 7 inches on a single day (7th), causing extensive flooding in Horncastle.",,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1973 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,
