ABBOTS-LEIGH-SOMERSET-(LEIGH-COURT),,,,,,,,,,
Grid ref,ST543746,Long,-2.65911,Lat,51.46902,Elevation,170,ft,,
Station no,RR4113,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,4.03,6.23,,,,,,
February,,,2.32,1.13,,,,,,
March,,,4.82,3.93,,,,,,
April,,,0.27,2.99,,,,,,
May,,,2.31,2.67,,,,,,
June,,,4.5,1.14,,,,,,
July,,,4.48,0.52,,,,,,
August,,,7.6,1.5,,,,,,
September,,,0.52,3.63,,,,,,
October,,2.52,4.49,2.51,,,,,,
November,,4.55,2.21,3.51,,,,,,
December,,6.91,6.64,2.1,,,,,,
Total,,,44.19,31.86,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1911 Sept Gauge moved 1 mile N,,,,,,,,,,
