ABBOTS-LEIGH-SOMERSET-(MANOR-HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,ST540735,Long,-2.66346,Lat,51.45864,Elevation,320,ft,,,,,,,,,,,,
Station no,RR4113,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,0.73,4.74,2.28,1.92,1.68,3.66,1.32,,,,,,,,
February,,,,,,0.97,2.22,1.81,1.94,0.67,4.67,2.53,,,,,,,,
March,,,,,,4.33,2.82,1.27,2.98,3.52,0.77,2.68,,,,,,,,
April,,,,,2.43,3.03,1.16,3.63,3.01,3.07,2.88,2.3,,,,,,,,
May,,,,,3.16,0.08,2.53,2.46,2.58,1.84,2.27,0.96,,,,,,,,
June,,,,,1.84,4.1,2.64,3.51,0.58,4.41,5.23,2.71,,,,,,,,
July,,,,,3.86,0.6,1.44,2.94,2.38,3.12,2.17,0.09,,,,,,,,
August,,,,,3.33,3.94,3.32,2.69,4.35,2.91,6.57,1.97,,,,,,,,
September,,,,,1.38,1.31,0.79,0.74,2.3,3.87,0.26,,,,,,,,,
October,,,,,1.52,2.39,5.54,5.54,1.97,6.69,5.36,,,,,,,,,
November,,,,,2.36,2.78,3.08,3.18,1.12,1.55,5.02,,,,,,,,,
December,,,,,2.33,1.29,1.5,6.24,2.16,5.13,5.27,,,,,,,,,
Total,,,,,,25.55,31.78,36.29,27.29,38.46,44.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1904 Mar 25th Gauge moved 0.5miles W ,,,,,,,,,,,,,,,,,,,,
1911 Sept Gauge moved 1 mile N to Leigh Court,,,,,,,,,,,,,,,,,,,,
