FIFEHEAD-MAGDALEN,,,,,,,,,,,,,,,,,,,,
Grid ref,ST782216,Long,-2.31188,Lat,50.99383,Elevation,330,ft,,,,,,,,,,,,
Station no,1630/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,3.19,2.7,2.95,0.94,4.79,6.04,2.88,6.55,2.85,3.18,3.96,6.77,1.88,,,,,,
February,,0.13,4.05,0.1,3.18,2.59,5.11,0.88,2.9,3.64,3.08,0.29,1.29,0.72,,,,,,
March,,1.97,3.57,3,1.06,4.47,4.56,0.24,1.07,2.44,3.01,2.36,0.76,0.38,,,,,,
April,,2.9,1.43,2.15,3.69,1.59,1.82,0.06,2.31,1.33,1.42,1.32,0.77,1.7,,,,,,
May,,4.44,3.02,0.96,1.45,0.52,2.55,2.25,0.8,1.71,1.76,3.3,3.14,0.44,,,,,,
June,,1.81,2.57,1.13,3.62,2.9,0.81,1.18,2.36,0.49,1.91,0.42,1.54,1.43,,,,,,
July,,2.83,2.81,1.76,0.63,5.42,4.68,3.33,4.97,3.24,1.65,1.1,2.42,2.9,,,,,,
August,,0.9,0.94,3.38,2.51,0.23,1.44,3.33,4.18,0.26,3.99,3.36,2.92,2.29,,,,,,
September,,4.28,2.3,3.09,4,3.5,3.12,1.71,0.6,1.64,0.76,1.93,2.44,1.48,,,,,,
October,,6.63,2.24,2.24,4.75,1.49,5.12,2.79,4.09,4.33,1.34,3.81,3.89,4.51,,,,,,
November,,2.15,0.8,1.71,7.15,3.16,1.95,4.84,6.41,7.82,2,1.76,2.48,5.72,,,,,,
December,,1.7,0.84,9.01,4.8,3.96,4.11,3.8,1.64,3.01,1.7,5.35,2.39,2.44,,,,,,
Total,,32.93,27.27,31.48,37.78,34.62,41.31,27.29,37.88,32.76,25.8,28.96,30.81,25.89,,,,,,
,,,,,,,,,,,,,,,,,,,,
Observer lived in the village and worked at Fifehead House ,,,,,,,,,,,,,,,,,,,,
Note says gauge in open field which fits with near house and church,,,,,,,,,,,,,,,,,,,,
Given elevation of 500ft is much too high,,,,,,,,,,,,,,,,,,,,
1942 Total changed as monthly values seem right,,,,,,,,,,,,,,,,,,,,
Station restarted 1954 at The Old Rectory,,,,,,,,,,,,,,,,,,,,
