WALTON-IN-GORDANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST423732,Long,-2.83148,Lat,51.45523,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2049/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2.47,2.46,0.63,3.56,3.64,4.87,5.61,3.01,3.55,3.32,6.34,2.27,2.33,3.27,2.36,5.9,0.9,0.94,4.28,2.92,0.75,2.38,3.37,3.31,3.34,2.94,3.84,3.36
February,,,3.65,0.5,2.93,2.07,4.99,1.07,1.88,2.24,2.97,0.21,1.81,0.6,3.59,2.41,1.33,1.52,1.16,5.57,3.76,0.58,1.63,3.23,1.89,0.24,3.53,4.11,0.36,1.98
March,,,2.88,1.9,0.66,3.22,3.15,0.56,1.42,2.74,3.02,2,1.23,0.25,1.17,1.11,6.07,1.57,1.21,1.63,4.25,2.53,1.28,3.21,1.16,0.57,3.21,0.96,2.89,2.2
April,,,1.28,2.36,4.84,2.86,2.74,0.16,3.01,2.37,1.46,1.28,1.09,2.29,1.09,2.32,2.58,2.16,2.15,2.23,3.32,2.12,3.33,0.64,1.42,2.15,0.3,0.84,2.92,1.72
May,,,1.86,1.61,1.2,1.52,2.17,2.37,0.86,2.79,1.98,3.59,2.75,0.84,4.03,4.28,2.32,4.23,2.98,1.85,2.55,4.96,1.9,1.53,3.83,0.69,1.35,2.82,1.93,1.5
June,,,1.26,1.04,3.74,3.1,1.27,1.21,2.17,0.81,1.73,0.33,1.95,3.78,3.47,3.7,1.67,2.05,0.58,2.04,0.75,2.34,1.75,3.89,3.36,2.79,1.57,3.66,1.22,1.54
July,,,1.92,1.07,1.17,5.97,4.9,3.04,4.71,6.42,2.47,2.45,2.07,1.93,2.68,1.68,2.54,1.16,2.17,3.91,1.23,0.98,3.52,4.07,0.16,3.31,3.41,2.06,2.62,4.98
August,,,1.17,2.97,2.31,0.77,0.97,4.13,3.7,0.15,5.2,3.53,4.33,3.16,2.75,7.99,1.22,4.79,2.17,6.2,5.28,5.11,5.74,3.06,1.13,5.84,2.1,3.59,2.71,5.5
September,,,2.17,2.88,8.1,3.28,1.72,1.93,0.81,1.07,0.79,2.06,4.37,4.68,2.87,4.82,1.21,2.62,3.64,5.34,2.8,3.17,3.17,5.79,1.5,3.46,4.06,5.94,0.17,5.26
October,,,3.45,2.46,6.81,1.65,3.4,6.95,2.56,4.24,1.64,3.2,2.6,3.77,4.41,0.89,0.49,4.3,7.29,1.76,1.06,5.14,2.6,4.77,1.59,1.24,3.79,3.21,3.97,7.29
November,,,0.76,1.45,6.28,4.11,2.2,5.08,6.51,7.91,2.07,1.4,2.29,5.97,0.9,4.76,3.17,1.85,3.11,6.03,7.24,3.9,3.47,5.88,3.49,1,2.43,2.39,4.58,5.62
December,,,1.55,8.11,3.74,3.29,1.9,3.49,2.35,1.69,2.39,3.3,1.87,2.13,4.92,3.29,2.78,3.64,2.89,1.94,2.57,2.07,1.44,2.26,3.63,3.61,2.35,3.79,7.1,4.57
Total,,,24.42,28.81,42.41,35.4,33.05,34.86,35.59,35.44,29.27,26.67,32.7,31.67,34.21,40.52,27.74,35.79,30.25,39.44,39.09,35.82,30.58,40.71,26.53,28.21,31.44,36.31,34.31,45.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer lives at The Manor House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Station re-numbered owing to revision of river division lines Previous Stn No 1994/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Nov 4 Inspection Gauge sound No bottle Measure flat-bottomed Site o/s by trees SE-SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Nov 4 Recommended move 100ft E down slope to satisfactory site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nothing says move made unless after 1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 9408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
