ASHOPTON-INN,,,,,,,,,,,,,,,,,,,,
Grid ref,SK194863,Long,-1.7098754,Lat,53.373207,Elevation,610,ft.,,,,,,,,,,,,
Station no,RR7338,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,4.79,2.08,3.42,2.78,4.18,2.09,5.96,4.98,3.41,,,,,
February,,,,,,,3.92,2.83,3.79,3.44,4.56,4.69,2.18,1.7,2.63,,,,,
March,,,,,,,3.96,4.1,3.94,4.75,1.01,2.36,4.25,5.06,4.72,,,,,
April,,,,,,,1.72,3.39,3.14,2,3.78,2.71,1.4,3.72,1.84,,,,,
May,,,,,,,2.31,4.01,3.24,2.43,2.77,1.07,3.44,2.51,2.32,,,,,
June,,,,,,,1.49,5.77,2.53,3.99,2.9,2.65,4.38,1.97,3.23,,,,,
July,,,,,,,2.38,2.4,3.89,4.15,4.03,0.34,6.03,1.15,4.01,,,,,
August,,,,,,,3.23,3.81,3.4,1.78,5.1,2.04,7.34,1.51,1.84,,,,,
September,,,,,,,1.22,0.56,3.15,3.13,0.46,3.04,2.19,2.82,2.71,,,,,
October,,,,,,,5.68,6.66,1.37,4.95,3.01,3.21,3.58,5.27,3.35,,,,,
November,,,,,,,5.47,3.97,3.18,1.44,6.01,4.96,3.1,4.5,6.06,,,,,
December,,,,,,,4.28,3.19,2.39,9.01,7.6,7.17,6.07,3.79,8.15,,,,,
Total,44.54,40.75,34.24,48.42,33.29,34.14,40.45,42.77,37.44,43.85,45.41,36.33,49.92,38.98,44.27,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Ashopton Inn, now submerged, Altitudes match",,,,,,,,,,,,,,,,,,,,
