ASHOPTON INN,,,,,,,,,,,,
Grid ref,SK194863,Long,-1.709875,Lat,53.373207,,,,,,,
Station no,RR7338,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.79,2.08,3.42,2.78,,
February,,,,,,,3.92,2.83,3.79,3.44,,
March,,,,,,,3.96,4.10,3.94,4.75,,
April,,,,,,,1.72,3.39,3.14,2.00,,
May,,,,,,,2.31,4.01,3.24,2.43,,
June,,,,,,,1.49,5.77,2.53,3.99,,
July,,,,,,,2.38,2.40,3.89,4.15,,
August,,,,,,,3.23,3.81,3.40,1.78,,
September,,,,,,,1.22,0.56,3.15,3.13,,
October,,,,,,,5.68,6.66,1.37,4.95,,
November,,,,,,,5.47,3.97,3.18,1.44,,
December,,,,,,,4.28,3.19,2.39,9.01,,
Total,44.54,40.75,34.24,,33.29,34.14,40.45,42.77,37.44,43.85,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,40.45,42.77,37.44,43.85,,
Difference,44.54,40.75,34.24,NaN,33.29,34.14,0.00,0.00,-0.00,0.00,,
