BROUGHTON,,,,,,,,,,,
Grid ref,SU308332,Long,-1.56114,Lat,51.09729,Elevation,125,ft,,,
Station no,RR6061,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,4.6,1.68,3.33,3.25,5.15,2.44,5.55,1.48,
February,,,3.29,5.38,0.25,4.39,1.81,4.64,2.2,1.4,
March,,,2.61,1.59,1.41,0.22,0.45,3.65,2.86,0.06,
April,,,3.63,3.47,3.12,2.69,3.33,1.84,1.79,0.79,
May,,,0.66,1.75,4,3.81,1.7,0.63,2.52,1.25,
June,,,0.82,0.27,2.54,0,2.39,2.64,2.32,,
July,,0.77,4.93,0.58,4.37,2.96,1.6,3.14,1.02,1.55,
August,,1.23,3.79,2.26,2.32,2.79,1.16,4.07,2.14,,
September,,1.12,1.7,1.77,4.06,3.47,1.05,5.25,1.85,,
October,,0.96,1.29,6.16,4.69,3.16,2.6,2.01,6.46,,
November,,2.54,1.76,1.89,3.44,2.7,8.67,3.39,3.09,,
December,,1.66,3.86,3.15,5.3,3.5,0.32,4.1,2.99,,
Total,,,32.94,29.95,38.83,32.94,30.23,37.8,34.79,,
,,,,,,,,,,,
Unknown exactly where gauge moved to but NGR matches 0.5 mile NW with same elevation ,,,,,,,,,,,
1921 June Gauge moved 0.5 miles NW New gauge position is 4ft above ground,,,,,,,,,,,
1928 Jan Observer states cannot lower gauge No other site available,,,,,,,,,,,
1929 June Record noted as imperfect,,,,,,,,,,,
1929 Observer unable to continue,,,,,,,,,,,
