BROUGHTON-(BROUGHTON-HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU311328,Long,-1.55616,Lat,51.09375,Elevation,125,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,6.28,0.99,1.89,1.14,3.4,1.28,4.52,5.35,0.7,4.44,1.33,1.27,4.11,4.1,3.4,3.02,,,,,,,,,
February,,,,,,,3.24,2.07,1.44,0.48,4.63,1.86,3.2,1.19,5.11,6.27,5.78,1.15,1.53,3.09,0.93,0.31,,,,,,,,,
March,,,,,,,1.55,0.95,3.35,4.27,0.94,3.09,4.92,3.49,5.2,1.1,3.32,3.14,1.23,5.22,2.4,1.39,,,,,,,,,
April,,,,,,,0.98,4.19,3.37,1.68,3.19,2.03,0.07,3.41,1.56,1.15,0.71,2.7,2.56,1.99,3.59,0.94,,,,,,,,,
May,,,,,,,2.1,2.46,2.32,1.7,1.96,1.88,1.51,2.69,1.28,3.75,1.56,2.35,1.79,0.5,1.09,1.3,,,,,,,,,
June,,,,,,,2.83,1.42,0.73,4.1,4.5,2,5.74,0.46,0.5,1.54,1.84,4.79,1.01,0.92,2.61,,,,,,,,,,
July,,,,,,,0.61,1.71,1.74,2.76,1.52,0.12,1.95,1.89,3.48,5.81,1.48,3.99,5.74,1.77,5.36,,,,,,,,,,
August,,,,,,,1.06,2.24,3.61,3.3,2.45,0.92,6.66,1.39,2.62,1.95,3.94,5.78,2.07,2.98,1.59,,,,,,,,,,
September,,,,,,,0.93,0.5,2.13,3.41,0.14,1.37,2.7,3.2,1.4,2.59,2.11,2.26,5.95,2.21,1.17,,,,,,,,,,
October,,,,,,,6.38,7.62,1.69,7.68,4.43,3.58,3.66,4.69,2.46,4.01,6.13,4.67,1.88,0.77,4.23,,,,,,,,,,
November,,,,,,,3.82,2.91,1.15,0.87,3.9,4.32,2.18,3.21,5.2,2.54,5.95,0.79,2.96,1.9,2.15,,,,,,,,,,
December,,,,,,,2.53,4.77,3.46,4.29,5.96,9.36,4.67,2.12,8.71,7.44,4.31,1.52,2.54,6.07,2.75,,,,,,,,,,
Total,,,,,,,32.31,31.83,26.88,35.68,37.02,31.81,41.78,33.09,38.22,42.59,38.46,34.41,33.37,31.52,31.27,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914 May 18 Inspection New gauge in perfect condition and perfect exposure in centre of square walled garden ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 June Gauge moved 0.5 miles NW ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
