BROUGHTON,,,,,,,,,,,,
Grid ref,SU310327,Long,-1.558719,Lat,51.092778,,,,,,,
Station no,RR6061,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.28,0.99,1.89,1.14,,
February,,,,,,,3.24,2.07,1.44,0.48,,
March,,,,,,,1.55,0.95,3.35,4.27,,
April,,,,,,,0.98,4.19,3.37,1.68,,
May,,,,,,,2.10,2.46,2.32,1.70,,
June,,,,,,,2.83,1.42,0.73,4.10,,
July,,,,,,,0.61,1.71,1.74,2.76,,
August,,,,,,,1.06,2.24,3.61,3.30,,
September,,,,,,,0.93,0.50,2.13,3.41,,
October,,,,,,,6.38,7.62,1.69,7.68,,
November,,,,,,,3.82,2.91,1.15,0.87,,
December,,,,,,,2.53,4.77,3.46,4.29,,
Total,,,,,,,32.31,31.83,26.88,35.68,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,32.31,31.83,26.88,35.68,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,0.00,,
