"LOCH AN-T-SEILICH, CHANGED TO TROMIE DAM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN763883,Long,-4.036351,Lat,56.969315,Elevation,1430,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5692/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,9.26,4.63,0.89,1.04,4.7,7,5.7,4.4,5.27,5.05,5.97,4.17,4,2.98,3.17,5.51,4.53,3.13,3.79,7.67,4.86,3.05,5.04
February,,,,,,,,3.81,5.09,1.2,3.64,0.96,5.27,3.12,5.32,4.41,1.22,5.15,4.54,7.21,2.5,3.46,2.23,2.99,5.1,3.72,5.23,3.62,1.75,6.16
March,,,,,,,,2.92,5.04,3.42,1.62,1.27,3.26,3.22,2.47,1.21,3.01,5.03,2.16,2.86,1.83,2.69,1.98,3.89,4.31,4.49,5.16,4.37,3.59,1.54
April,,,,,,,,0.65,1.94,2.57,1.61,2.65,4.45,2.71,1.2,1.57,9.24,2.84,3.27,4.36,4.34,2.81,3.56,2.17,1.15,2.6,1.19,1.66,3.83,4.68
May,,,,,,,,3.49,1.7,1.54,3.7,3.69,3.31,2.64,4.85,1.18,3.65,3.08,2.45,1.42,1.77,2.8,4.03,4.91,3.61,4.18,1.54,3.65,2.1,1.97
June,,,,,,,,5.75,2.91,1.09,0.51,1.56,4.67,3.61,2.89,4.15,3.5,5.25,1.82,2.45,2.46,2.72,4.89,2.27,1.39,4.15,1.99,2.23,2.53,2.25
July,,,,,,,,4,5.13,6.84,3.09,3.53,2.38,1.86,2.06,5.28,3.6,3.54,0.83,4.49,2.38,2.1,4.22,2.66,0.32,7.37,4.92,5.04,4.94,3.35
August,,,,,,,,2.49,2.44,1.72,5.38,4.44,4.05,2.88,1.76,3.22,0,7.17,4.06,5.28,6.39,2.79,3.93,2.63,1.2,5.06,5.42,5.6,2.2,9.89
September,,,,,,,,4.48,2.69,2.09,1.72,4.89,3.74,3.51,5.59,4.22,5.03,4.14,0.98,8.31,2.65,3.18,4.7,6.1,4.63,5.77,2.71,4.61,0.84,4.57
October,,,,,,,,9.79,3.11,6.03,4.24,5.97,8.47,4.99,3.8,0.27,1.68,3.64,3.78,4.09,1.05,7.03,2.68,7.9,5.11,5.57,3.01,4.36,5.85,2.72
November,,,,,,,,8.78,7.45,7.69,7.77,2.01,3.64,5.73,0.57,5.31,6.67,4.46,4.01,4.35,7.26,3.92,7.14,10.85,2.36,4.46,3.64,1.46,6.51,4.44
December,,,,,,,,4.98,3.18,5.23,5.8,8.22,2.14,8.04,6.96,3.77,1.87,8.36,6.52,3.74,5.88,4.15,6.8,9.24,9.83,11.46,4.98,3.47,7.7,4.82
Total,,,,,,,,60.4,45.31,40.31,40.12,43.89,52.38,48.01,41.87,39.86,44.52,58.63,38.59,52.56,41.49,40.82,51.67,60.14,42.14,62.62,47.46,44.93,44.89,51.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G moves1940s poorly documented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 J est ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 J est ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 J est ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 np low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5692/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd stn,815521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
