GRAVENEY-MARSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR056639,Long,0.95028823,Lat,51.337001,Elevation,6,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,1.75,0.72,1.52,1.49,1.76,1.25,1.7,1.45,3.41,4.25,2.54,4.31,1.34,1.97,1.96,4.94,1.29,,,,,,
February,,,,,,,,,0.76,0.28,0.98,1.86,0.21,0.58,0,2.24,1.94,3.51,0.66,1.34,0.19,1.87,0.3,1.36,1.39,,,,,,
March,,,,,,,,,1.15,0,1.14,0.07,1.08,1.45,2.25,0.29,0.55,3.73,0.52,1.7,3.22,1.77,2.39,0.34,0.25,,,,,,
April,,,,,,,,,2.03,1.34,0.68,2.72,1.19,0.52,1.51,2.21,1.03,2,0.44,2.09,1.36,1.87,1.12,1.27,1.46,,,,,,
May,,,,,,,,,2.12,0.8,3.1,2.08,2.38,1.37,0.89,1.65,0.18,2.85,2.36,2.03,0.81,1.91,2.78,3.76,0.27,,,,,,
June,,,,,,,,,2.02,0.97,0.75,0.57,0.3,1.96,0.81,1.89,2.67,1.77,0.53,1.52,1.24,1.48,0.56,0.99,1.2,,,,,,
July,,,,,,,,,0.97,0.7,1.85,2.31,2.67,1.12,1.56,0.32,3.31,0.65,1.64,1.67,3.25,3.42,3.36,2.8,3.08,,,,,,
August,,,,,,,,,2.26,1.73,2.37,1.93,0.6,0.29,1.15,3.11,1.47,0.91,2.44,1.76,0.06,3.54,2.17,1.17,1.91,,,,,,
September,,,,,,,,,0.55,0.29,3.35,1.75,1.48,2.96,1.49,2.77,2.49,2.86,2.22,0.22,1.15,0.3,2.54,1.85,3.25,,,,,,
October,,,,,,,,,3.44,2.64,1.33,0.31,6.15,0.88,1.9,2.56,2.19,3.37,2.66,9.32,4.32,1.67,3.68,1.88,,,,,,,
November,,,,,,,,,2.99,4.02,3.76,2.83,0.81,1.27,2.23,4.16,4.07,1.21,2.88,4.27,6.08,4.28,2.7,1.59,,,,,,,
December,,,,,,,,,2.96,4.75,1.79,0.35,0.21,0.25,3.72,2.44,2.28,4.74,2.76,1.46,0.91,1.66,2.13,1.88,,,,,,,
Total,,,,,,,,,23,18.24,22.62,18.27,18.84,13.9,19.21,25.09,25.59,31.85,21.65,31.69,23.93,25.74,25.69,23.83,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Mar IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
