ABERDEEN Braemar Place,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 92924 04748,Long,-2.118524,Lat,57.133585,Elevation,103,ft,,,,,,,,,,,,
Station no,RR2253,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,3.56,1.48,1.97,0.68,1.9,1.06,2.82,3.02,1.74,2.33,2.92,1.76,
February,,,,,,,,2.74,0.75,2.26,2.68,4.96,0.85,4.14,1.9,3.56,1.92,0.89,2.05,
March,,,,,,,,2.17,2.08,2.21,1.58,2.72,1.86,3.84,3.4,1.57,2.63,2.11,3.37,
April,,,,,,,,3.29,0.85,3.86,3.1,0.92,3.33,1.74,1.49,1.82,1.24,1.82,1.96,
May,,,,,,,,2.83,2.01,2.78,0.86,2.63,1.44,0.94,1.42,3.84,4.11,1.95,1.2,
June,,,,,,,,3.67,1.79,2.35,2.94,3.06,3.41,1.16,0.98,1.07,1.01,0.66,2.57,
July,,,,,,,,3.09,0.5,3.8,3.27,4.43,3.32,3.64,2.93,1.49,2.28,1.94,4.59,
August,,,,,,,,6.94,3.94,4.31,1.05,3.16,1.68,3.77,2.08,2.02,1.01,1.88,2.05,
September,,,,,,,,1.83,3.39,3.01,3.27,2.11,3.04,3.33,1.5,3.9,1.66,3.39,1.85,
October,,,,,,,,2.14,2.4,1.16,3.07,3.75,2.93,1.97,2.69,2.21,2.44,2.73,,
November,,,,,,,,5.04,3.84,2.91,2.58,2.7,5.22,1.8,3.22,2.07,2.05,2.54,,
December,,,,,,,,2.66,4.77,0.95,4.41,1.82,7.14,2.39,1.84,2.28,4.36,3.2,,
Total,,,,,,,,39.96,27.8,31.57,29.49,34.16,35.28,31.54,26.47,27.57,27.04,26.03,,
