MIDDLE-SEAL-CLOUGH-NO-79B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK112896,Long,-1.8330075,Lat,53.403105,Elevation,1320,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2693/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,8.22,8.6,8.35,,5.1,,8.2,-999,,7.43,5.17,14.76,5.14,5.17,9.43,8.05,3.58,6.35,3.3,8.85,4.32,5.54,4.96,8.54
February,,,,,,,8.93,3.69,5.29,,7.4,2.79,6.68,-999,,9.07,3.13,5.24,4.18,9.12,6.82,5.34,,3.92,2.54,1.95,4.33,9.53,0.72,3.29
March,,,,,,,5.07,3.91,4.68,4.6,6.66,3.64,2.25,-999,2.24,2.46,9,2.48,3.51,3.52,9.57,3.76,4.53,3.62,3.74,2.54,5.13,3.19,2.67,1.87
April,,,,,,,5.83,1.03,4.39,4.23,3.58,2.63,-999,-999,3.87,2.23,5.23,3.26,6.54,7.72,3.73,4.19,4.86,1.36,3.05,2.38,0.69,1.93,3.69,3.26
May,,,,,,,2.51,5.08,2.89,1.1,4.08,4.93,-999,-999,4.77,2.04,4.26,1.74,3.06,2.34,3.05,3.52,2.44,4.51,4.18,1.63,2.04,5.03,0.89,2.32
June,,,,,,,2.93,6.91,3.6,1.32,4.23,1.17,-999,-999,5.37,6.11,3.58,8.57,1.78,3.64,2.19,3.64,4.18,4.27,4.59,4.86,1.77,6.08,2.68,1.75
July,,,,,,,5.47,7.84,8.7,6.56,4.96,,-999,5.3,2.39,6.74,3.47,3.48,3.41,4.22,4.57,4.09,7.86,10.09,0.92,9.84,6.98,6.34,4.84,9.62
August,,,,,,,1.61,3.09,2.69,3.25,9.15,4.46,-999,4.97,4.23,5.57,0.51,6.91,3.93,4.75,7.16,4.15,6.07,8.37,0.66,12.65,8.87,4.19,0.61,6.09
September,,,,,,,2.1,3.68,2.72,,0.86,,-999,7.73,3.87,8.82,3.06,3.94,2.46,9.07,4.23,7.67,3.42,7.09,2.67,5.86,10.62,8.83,0.22,4.63
October,,,,,,,3.24,11.75,4.2,4.99,7.36,,-999,7.5,8.14,1.85,1.44,3.98,5.72,3.34,1.74,7.09,2.85,10.06,4.23,4.75,7.08,5.71,4.65,7.75
November,,,,,,,2.68,8.72,10.56,10.43,5.07,,6.87,9.5,1.11,10.53,7.86,3.89,9.63,10.07,12.19,4.46,4.07,9.07,3.34,2.67,3.22,2.12,6.15,8.86
December,,,,,,,4.76,7.45,5.57,8.17,4.72,5.62,3.21,5.33,4.96,6.67,6.17,4.34,11.76,3.75,10.17,6.07,3.44,10.64,7.18,7.74,8.19,6.11,8.99,5.82
Total,,,,,,,53.35,71.75,63.64,,63.17,,61.11,70.91,,69.52,52.88,62.59,61.12,66.71,74.85,62.03,,79.35,40.4,65.72,63.24,64.6,41.07,63.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 3256 MIDDLE SEAL CLOUGH Start 1937 end 1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is on Nether Seal at the stated altitude and is 200m m S of the NGR on the 1950s record, SK111897, but closer the the Long/lat on the 1030s record and better fits the relationship of the two gauges. 1950s records changes Nether to Middle and Middle Seal Clough is 300m W but no suggestion that the gauge moved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 1947 estimaated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940s record appears to have a revised set of 1949 readings pasted over them but this has been dislodged and covers some of the earlier records. The 1949 readings have been entered from the lose record. It appears that the 1949 readings for MIDDLE-SEAL-CLOUGH, NETHER-RED-CLOUGH and MILL BROOK were mixed up in the original entries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
