HARRIS INVERNESS,,,,,,,,,,,,,,,,,,,,
Grid ref,NG 155 999,Long,-6.802461,Lat,57.897349,Elevation,0,ft,,,,,,,,,,,,
Station no,RR1983,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,7.3,2.46,4.4,,,,,,,,
February,,,,,,,,,,4.17,2.13,4.3,,,,,,,,
March,,,,,,,,,,5,4.85,8.25,,,,,,,,
April,,,,,,,,,,2.75,1.6,0.68,,,,,,,,
May,,,,,,,,,,0.36,3.5,2.43,,,,,,,,
June,,,,,,,,,,1.46,1.95,1.84,,,,,,,,
July,,,,,,,,,,4.15,1.66,,,,,,,,,
August,,,,,,,,,,3.15,3.24,,,,,,,,,
September,,,,,,,,,,4.65,2.54,,,,,,,,,
October,,,,,,,,,8.05,3.16,4.06,,,,,,,,,
November,,,,,,,,,3.86,2.81,1.76,6.72,,,,,,,,
December,,,,,,,,,5.99,4.39,2.1,6,,,,,,,,
Total,,,,,,,,,,43.35,31.85,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location is Low Confidence,,,,,,,,,,,,,,,,,,,,
