HIGHFIELD-NORTHOP,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ259681,Long,-3.1108514,Lat,53.204784,Elevation,400,ft.,,,,,,,,,,,,
Station no,RR4715,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.51,2.17,2.11,1.13,3.83,1.08,1.67,1.52,2.42,0.62,5.74,3.11,1.5,,,,,
February,,,1.71,1.55,4.1,0.89,1.98,1.33,2.03,0.93,2.45,1.55,1.41,0.85,1.84,,,,,
March,,,1.57,3.7,1.86,3.16,2.07,1.81,4.1,2.88,0.69,1,3.07,3.63,2.29,,,,,
April,,,2.3,1.8,0.81,1.95,0.78,1.3,3.56,2.53,2.99,0.74,0.37,2.81,0.62,,,,,
May,,,3.5,2.94,1.88,0.49,2.2,2.46,2.44,1.28,1.94,0.82,2.66,2.18,1.64,,,,,
June,,,1.79,1,1.25,3.35,0.92,3.1,1.93,2.8,2.97,3.59,3.61,1.49,2.9,,,,,
July,,4.27,1.41,3.22,1.89,1.82,0.79,2.58,2.44,2.2,3.16,0.73,2.66,1.87,5.69,,,,,
August,,2.48,3.63,3.31,4.29,4.8,2.66,2.71,2.85,3.24,3.09,2.92,6.02,2.49,1.68,,,,,
September,,0.87,1.04,4.03,1.6,1.12,1.06,0.63,3.91,2.5,0.18,4.05,1.51,1.55,2.5,,,,,
October,,2.49,3.62,7.55,0.81,2.06,4.08,6.21,1.91,3.73,3.49,2.18,3.3,3.36,1.24,,,,,
November,,3.3,1.71,2.33,1.94,3.46,2.04,2.63,2.36,1,5.19,2.28,2.46,1.72,3.71,,,,,
December,,2.86,2.12,1.88,2.52,0.59,3.52,2.05,2.35,5.32,4.42,3.82,1.88,2.02,5.87,,,,,
Total,,,25.91,35.48,25.06,24.82,25.93,27.89,31.55,29.93,32.99,24.3,34.69,27.08,31.48,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Highfield Hall. Altitudes match.,,,,,,,,,,,,,,,,,,,,
