BIRMINGHAM W.W. ABERHENLLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN898717,Long,-3.618662,Lat,52.332284,Elevation,1070,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
November,,,,,,,,,5.05,2.5,8.2,6.5,6.3,8.4,8,4.75,4.3,7.1,6.1,4.85,2.2,4.82,2.96,6.42,4.43,5.25,9.85,6.5,13.7,15.15,,10.3,6.55,1.6,2.5,8.85,8.25,3,10.65,18,14.85,5.8,1.25,8,10.9,1.05,11.5,8.75,4.45,10.4,8.9,13.4,,6.8,12.05,3.9,4.75,4.43,3.85,7.4,,,
December,,,,,,,,,5.45,8.4,10.7,11.2,8.9,4.65,10.75,11.3,4.3,2.15,11.2,11.5,4.85,10.38,7.73,9.04,10.2,8.25,2.6,3.35,6.55,17.8,9.45,5.35,4.55,1.9,11.65,6.75,10.55,5.6,8,6.6,7.4,6.75,9.9,3.7,7.15,,7.85,8.5,10.8,13.3,5.55,10,,2.65,,7.75,,8.45,6.88,,12.8,,
Total,,,,,,,,,53.9,52.35,68.85,50.68,64.15,,65.2,,59.08,54.1,68.38,,60.88,51.99,64.95,,74.26,72.57,65.02,76.6,83.65,66.8,,67.25,68.05,,64.15,75.4,71.85,57.8,74.05,75.3,68.1,58.9,63.1,67.6,70.35,,81.75,59.65,75.2,,,75.12,,,,56.94,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is consistent with the altitude and location description in relation to the stream. The gauge moved 350 yards South in 1921 to this location and the altitude reduced from 1250 ft. to 1070 ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The gaps in the records are for bracketed readings that have been removed along with the respective annual total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 1916 and annual total noted as being corrected for snow; readings left in the record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 total is bracketed but none of the monthly readings are and the total matched the sum of the monthly readings: reading left in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan, Feb and Mar 1947 readings are noted as being corrected for snow; readings left in place",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
