BOSTON BLACK SLUICE SKIRBECK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF325428,Long,-0.02858,Lat,52.966198,Elevation,11,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,3.07,0.96,2.03,1.2,2.22,3.37,0.69,1.31,1.52,1.15,0.81,2.62,0.76,0.87,0.9,1.16,1.57,2.71,2.79,1.63,2.55,1.05,2.36,1.68,2.94,1.52,1.96,2.21,1.44,1.97,1.19,2.79,1.84,3.48,1.96,1.93,2.42,0.96,1.48,1.6,2.41,3.02,3.56,2.64,4.36,1.52,2.66,2.43,4.37,2.21,2.49,1.08,1.89,3.76,1.06,1,3.28,1.52,0.86,1.26,2.23,5.51,1.68,1.94,2.82,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.49,0.4,3,0.53,1.05,4.47,1.13,1.37,0.57,2.69,0.59,1.88,1.09,1.2,0.48,2.58,1.29,1.05,0.6,0.83,2.15,3.74,0.9,1.57,2.4,0.83,0.44,2.46,3.16,1.05,1.91,1.73,2.2,1.34,0.56,0.7,2.53,0.66,1.64,0.52,1.62,2.65,2.6,0.87,0.49,2.25,2.48,1.44,0.42,1.86,1.54,1.91,1.55,0.77,0.72,3.2,3.08,0.46,1.65,2.17,2.86,0.9,3.28,3.41,0.12,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.14,2.07,2.07,1.46,0.74,0.4,1.79,1.09,2.7,1.46,1.76,1.76,1.56,2.16,3.19,0.65,1.62,1.88,2.35,2.54,1.25,4.27,1.06,0.6,2.47,2.31,0.82,1.61,1.71,0.69,1.37,0.66,1.92,1.94,0.28,1.66,0.35,1.45,2.28,1.87,0.37,1.17,3.03,0.25,1.98,1.57,3.69,1.36,0.53,0.24,0.62,0.98,4.29,0.5,0.94,0.6,3.19,2.35,0.79,1.61,2.05,0.93,1.61,1.37,2.35,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.7,0.79,1.16,2.2,1.94,1.53,1.38,1.57,1.25,0.81,1.81,0.55,1.86,2.3,1.51,1.91,0.68,0.24,1.9,0.98,0.48,1.55,2.01,1.74,2.2,3.67,1.03,2.28,0.85,1.8,1.93,1.71,2.37,1.15,0.61,2.24,2.57,3.06,1.22,1.8,2.09,1.76,2.5,0.19,2.05,1.1,0.71,0.71,0.9,1.75,0.98,1.12,1.82,1.16,1.79,1.77,2.36,1.09,2.13,0.32,1.44,1.23,0.23,0.62,1.49,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.26,0.59,1.18,2.32,2.56,1.34,1.52,2.62,3.57,0.97,1.35,1.21,3.04,1.57,0.9,2.82,0.73,2.42,2.12,0.82,1.59,1.75,1.38,3.59,0.67,2,1.13,1.36,1.84,2.93,3.28,2.47,1.06,1.7,1.15,2.32,2.61,3.56,1.56,0.8,0.32,0.68,5.29,2.06,0.81,1.23,2.07,2.62,2.53,0.86,1.04,1.25,0.43,2.91,1.92,3.36,2.95,2.73,2.62,2.87,2.55,0.64,1.9,2.8,0.46,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.83,1.76,2.09,1.42,0.89,2.87,0.33,2.77,1.65,1.32,2.39,2.28,1.44,1.55,3.38,1.47,2.59,3.31,1.02,2.57,0.88,2.65,1.85,0.81,0.91,2.46,0.55,1.16,0.5,2.01,0.2,3.36,3.34,3.17,1.59,1.09,2.48,0.4,2.14,0.58,2.12,3.36,1.92,1,1.87,0.81,0.43,1.22,1.4,2.45,1.72,2.64,3.12,3.29,0.79,1.36,0.91,1.83,3.14,2.84,2.77,2.72,1.98,3.12,0.43,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,2.18,0.83,1.8,0.73,1.35,0.69,2.61,1.23,2.44,3.15,1.36,0.46,2,3.23,4.2,2.36,0.13,4.16,0.79,1.22,4.98,1.67,1.08,2.86,2.5,3.18,0.42,4.49,2.11,1.97,1.04,1.37,2.02,1.23,1.74,2.46,5.18,5.68,1.12,1.29,0.4,4.28,7.37,2.19,2.25,5.61,4.36,2.44,1.36,1.49,1.86,1.81,1.49,1.45,2.74,2.66,1.08,0.48,1.4,1.99,0.35,2.62,2.66,4.13,2.41,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.73,1.21,2.54,3.62,0.81,3.99,1.56,3.15,4.45,1.75,2.8,2.62,1.87,2.41,2.76,3.25,2.78,6.3,0.9,1.67,2.56,2.88,4.47,1.27,2.58,1.72,2.98,1.81,2.37,1.99,1.44,1.4,3.72,1.68,0.86,2.73,8.02,1.72,0.4,2.09,1.44,0.98,0.59,1.95,1.73,0.54,4.48,2.25,2.11,2.54,4.83,3.14,0,3.68,2.04,1.82,3.51,2.61,3.02,3.58,0.68,3.89,1.88,1.68,1.1,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.57,3.87,3.23,0.33,2.25,0.42,1.09,1.34,2.97,2.66,2.25,0.81,0.5,1.62,1.63,1.09,1.95,1.44,1.75,0.93,1.24,1.29,1.04,4.21,1.52,1.57,0.68,2.32,2.28,2.12,2.84,1.85,3.33,0.24,0.57,3.67,2.67,2.39,1.99,1.24,2.14,1.45,1.41,2.43,1.06,0.64,0.8,1.27,2.12,3.83,1.28,2.8,1.29,2.31,1.65,3.74,2.03,2.21,1.13,2.33,1.29,1.44,4.44,1.96,0.54,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,2.73,3.31,0.84,3,2.82,2.2,2.33,2.33,5.68,1.48,1.53,4.23,4.09,0.87,3.54,2.14,2.77,1.97,5.89,2.08,1.48,1.99,3.12,1.91,1.86,1.5,2.07,1.15,2.43,4.06,2.35,1.95,2.24,3.95,2.7,0.96,0.65,3.36,3.18,1.17,2.57,2.08,2.13,2.25,3.48,2.74,3.21,2.57,1.05,2.45,2.47,3.36,0.21,1.74,4.46,0.93,0.87,1.93,2.4,2.51,1.65,0.75,1.55,1.82,1.46,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,2.44,0.98,1.35,1.58,1.15,2.14,1.75,1.02,1.8,0.67,2.16,2.97,2.07,1.21,0.66,2.58,2.84,2.37,2.17,2.34,2.86,3.21,1.36,2.11,2.09,0.64,1.3,1.11,2.41,1.78,2.22,2.87,3.15,2.72,4.06,3.06,1.89,1.5,2.29,1.97,3.84,1.87,2.02,1.83,3.9,4.36,3.05,2.64,1.83,3.67,0.82,4.49,1.09,1.42,2.43,4.03,3.45,2.79,1.61,3.88,1.24,0.79,1.83,1.02,1.69,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,1.77,3.2,1.48,1.8,1.76,4.08,4.01,1.92,1.11,1.87,0.84,2.03,2.59,1.16,3.71,4.22,3.83,3.18,0.62,4.48,4.9,3,0.89,2.62,3.75,2.39,1.36,2.72,3.03,1.83,1.78,0.76,2.62,2.47,4,1.56,0.88,0.67,0.67,3.42,2.5,1.25,2.5,4.43,2.2,1.69,0.39,1.56,0.87,1.18,2.46,2.49,2.02,2.63,1.28,1.34,1.21,1.61,0.83,2.23,1.63,1.36,1.99,2.75,3.37,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,22.91,19.97,22.77,20.19,19.54,27.5,20.19,21.72,29.71,19.98,19.65,23.42,22.87,20.15,26.86,26.23,22.78,31.03,22.9,22.09,26.92,29.05,21.52,24.97,25.89,23.79,14.74,24.68,24.13,24.2,21.55,22.92,29.81,25.07,20.08,24.38,32.25,25.41,19.97,18.35,21.82,24.55,34.92,22.09,26.18,24.06,28.33,22.51,19.49,24.53,22.11,27.07,19.2,25.62,21.82,25.81,27.92,21.61,21.58,27.59,20.74,22.78,25.03,26.62,18.24,33.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
