CHATSWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK262701,Long,-1.609003,Lat,53.227302,Elevation,436,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813
January,,,,,,,,,,,,,,,,,,0.84,2.7,0.69,1.27,1.44,3.02,3.02,2.44,1.14,3.61,0.65,1.72,2.12,2.25,6.37,1.87,1.93,,,,,,,4.1,2.04,1.81,2.5,4.91,4.25,3.96,1.4,1.39,5.22,0.58,0.99,1.48,1.02
February,,,,,,,,,,,,,,,,,,1.74,1.25,0.24,1.21,3.45,1.04,2.78,1.41,0.37,1.1,2.13,2.53,3.62,0.46,2.06,1.04,1.61,,,,,,,0.52,1.44,2.5,2.11,0.79,2.22,2.57,1.79,1.35,3.29,1.15,4.25,3.66,3.59
March,,,,,,,,,,,,,,,,,,1.7,1.12,0.48,1.22,0.12,1.99,2.26,1.21,0.79,1.16,3.56,1.44,1.12,0.51,0.71,1.78,2.31,,,,,,,1.71,0.29,0.31,1.48,2.89,1.02,2.05,0.44,0.37,0.44,2.1,1.72,5.22,0.87
April,,,,,,,,,,,,,,,,,,2.3,1.33,2.16,3.89,1.9,6.96,0.54,2.39,0.12,0.88,1.17,1.08,2.21,0.51,2.51,3.31,2.53,,,,,,,2.84,2.8,0.94,1.73,2.26,2.83,0.73,0.67,2.57,1.7,1.92,1.73,1.38,0.68
May,,,,,,,,,,,,,,,,,,1.54,2.22,1.48,1.53,1.57,4.66,2.99,1.88,0.86,2.8,1.57,1.73,2.38,2.78,0.78,3.12,0.75,,,,,,,1.67,0.47,0.99,1.11,1.62,1.82,1.52,5.26,1.68,1.83,2.89,3.1,2.31,4.28
June,,,,,,,,,,,,,,,,,,1.78,0.59,2.05,1.09,2.08,2.81,3.22,4.02,1.12,1.91,1.37,2.76,4.85,2.96,1.02,2.96,0.77,,,,,,,0.62,2.64,2.42,2.44,1.5,1.31,2.05,2.81,3.25,2.06,0.87,1.81,3.48,2.17
July,,,,,,,,,,,,,,,,,,3.19,3.55,4.81,1.01,1.41,3.64,1.53,3.55,2.44,1.21,6.17,2.33,5.62,2.62,2.51,2.53,0.66,,,,,,,0.15,3.51,3.22,1.53,3.12,1.14,2.53,2.26,3.71,2,2.23,2.66,2.31,2.42
August,,,,,,,,,,,,,,,,,,2.29,0.81,0.65,0.33,2.58,4.81,2.76,1.94,4.02,3.93,2.55,2.15,1.2,2.47,3.67,2.82,-999,,,,,,,0.95,0.53,1.4,0.71,2.26,2.45,2.42,1.57,2.13,4.38,2.92,1.73,1.34,0.59
September,,,,,,,,,,,,,,,,,,1.22,1.82,3.03,3.28,2.6,4.45,5.82,1.05,2.77,3.91,1.82,1.72,3.58,2.56,2.51,4.51,-999,,,,,,,5.78,5.57,0.97,0.8,0,1.51,1.78,1.27,3.8,4.13,2.13,2.33,1.67,2.16
October,,,,,,,,,,,,,,,,,,5.02,6.38,3.3,4.09,0.11,2.29,1.83,0.45,3.71,3.07,4.29,1.69,4.48,1.73,3.33,3.49,-999,,,,,,,3.64,2.62,3.95,1.35,3.73,1.57,1.52,3.13,3.98,0.28,1.73,3.14,4.45,5.46
November,,,,,,,,,,,,,,,,,,1.74,2.99,1.69,1.28,3.61,1.56,2.41,2.26,2.72,3.88,3.28,0.6,2.44,3.75,5.95,2,-999,,,,,,,2.76,3.21,1.98,3.01,3.15,0.25,4.05,1.18,2.6,1.91,4.59,2.56,2.85,3.11
December,,,,,,,,,,,,,,,,,,1.43,5.14,3.98,0.24,2.17,1.89,0.37,0.38,3.1,3.21,3.51,0.11,2.69,4.29,3.28,5.31,-999,,,,,,,2.3,3.18,2.85,5.43,1.62,1.81,4.9,2.67,1.98,2.67,4.87,1.88,1.5,1.17
Total,,26.53,23.4,36.4,34.26,27.54,25.24,30.72,39.2,27.26,29.45,22.43,30.84,31.28,31.52,33.75,29.89,24.79,29.9,24.56,20.44,23.04,39.12,29.53,22.98,23.16,30.67,32.07,19.86,36.31,26.89,34.7,34.74,24.32,30.77,23.53,24.28,30.13,27.56,31,27.04,28.3,23.34,24.2,27.85,22.18,30.08,24.45,28.81,29.91,27.98,27.9,31.65,27.52
