"BRIGG - THORNHOLME, 7 Wrawby Road",,,,,,,,,,,,,,
Grid ref,TA004073,Long,-0.486,Lat,53.553,Elevation,22,ft,,,,,,
Station no,2572,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,1.88,3.88,1.86,2.59,2.06,0.91,1.58,1.84,2.05,3.25,3.09,1.88,3.73,1.79
February,0.99,1.51,0.57,0.32,2.34,0.55,2.33,1.55,2.24,2.35,1.79,1.27,0.94,
March,1.21,2.24,0.14,1.73,0.46,1.51,2.15,1.38,0.43,0.74,1.89,0.22,2.04,
April,2.20,1.03,0.67,2.39,3.19,2.37,0.98,2.07,2.14,1.73,3.41,0.15,1.79,
May,0.97,1.36,1.06,1.85,2.51,4.65,1.99,0.88,0.33,1.66,2.86,2.56,1.29,
June,2.87,2.69,0.68,2.45,3.49,0.38,1.83,1.64,2.61,2.98,1.63,1.57,2.38,
July,2.38,0.46,1.37,5.34,4.49,1.89,1.43,1.01,0.32,4.06,2.84,3.32,5.04,
August,3.29,4.32,2.40,3.57,4.39,1.46,0.34,2.03,1.33,1.39,1.53,2.64,3.42,
September,3.35,0.22,1.19,3.57,2.64,1.60,1.79,1.88,3.49,2.00,0.97,2.45,0.82,
October,1.60,4.16,3.47,2.17,1.10,2.97,5.04,1.19,3.39,1.81,2.49,2.63,2.73,
November,2.01,2.68,4.14,3.07,2.67,1.35,1.63,2.02,3.68,2.20,1.76,2.07,4.12,
December,2.17,2.07,4.24,1.71,1.05,1.12,0.35,3.27,2.56,1.10,4.14,4.02,2.25,
Total,24.92,26.62,21.79,30.76,30.39,20.76,21.44,20.76,24.57,25.27,28.40,24.78,30.55,
,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/091,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/167,,,,,,,,,,,,,,
