MULLARDOCH DAM,,,,,,,,,,
Grid ref,NH223310,Long,-4.953865,Lat,57.334787,Elevation,805,ft,,
Station no,5713/78,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.37,5.43
February,,,,,,,,,3.46,5.84
March,,,,,,,,,3.73,1.14
April,,,,,,,,,4.73,7.56
May,,,,,,,,,2.23,1.43
June,,,,,,,,,4.21,3.07
July,,,,,,,,,6.1,2.4
August,,,,,,,,,4.7,5.43
September,,,,,,,,,1.68,2.67
October,,,,,,,,,8.76,3.41
November,,,,,,,,1.77,7.65,4.27
December,,,,,,,,5.82,9.66,10
Total,,,,,,,,,62.28,52.65
,,,,,,,,,,
Station no,5713/78,,,,,,,,,
Midas,14584,,,,,,,,,
Hyd Stn,795625,,,,,,,,,
