"GLEN CANNICH (MULLARDOCH DAM)",,,,,,,,,,,,
Grid ref,NH223310,Long,-4.953865,Lat,57.334787,,,,,,,
Station no,5713/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,13.95,9.21,5.19,,,
February,,,,,,,6.40,4.64,3.49,,,
March,,,,,,,4.82,2.93,3.81,,,
April,,,,,,,2.05,4.60,4.72,,,
May,,,,,,,2.81,7.45,2.24,,,
June,,,,,,,2.72,2.21,4.12,,,
July,,,,,,,5.18,2.29,6.05,,,
August,,,,,,,7.20,3.82,,,,
September,,,,,,,5.65,4.72,,,,
October,,,,,,,9.64,9.78,,,,
November,,,,,,,3.32,1.85,,,,
December,,,,,,,13.03,5.92,,,,
Total,,,,,,,76.77,59.42,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,76.77,59.42,29.62,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,NaN,NaN,,
