"FORTROSE HOLLYSYDE",,,,,,,,,,,,
Grid ref,NH727566,Long,-4.130661,Lat,57.581447,,,,,,,
Station no,5769,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.14,,
February,,,,,,,,,,0.64,,
March,,,,,,,,,4.94,1.99,,
April,,,,,,,,,0.82,1.96,,
May,,,,,,,,,1.10,1.73,,
June,,,,,,,,,0.86,1.06,,
July,,,,,,,,,1.13,1.87,,
August,,,,,,,,,1.69,1.01,,
September,,,,,,,,,4.36,1.32,,
October,,,,,,,,,0.57,3.45,,
November,,,,,,,,,1.74,0.85,,
December,,,,,,,,,1.19,1.43,,
Total,,,,,,,,,,19.45,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.40,19.45,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
