FORTROSE HOLLYSYDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH727566,Long,-4.130661,Lat,57.581447,Elevation,69,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,2.14,2.3,0.84,0.92,0.43,2.38,1.7,3.16,3.35,3.28,1.72,2.35,,,,,,,,,,
February,,,,,,,,,,0.64,0.63,2.56,1.31,1.5,1.57,1.98,3.02,0.74,2.38,1.31,,,,,,,,,,,
March,,,,,,,,,4.94,1.99,0.82,1.13,1.41,2.25,2.13,1.89,1.86,1.94,0.83,1.95,,,,,,,,,,,
April,,,,,,,,,0.82,1.96,4.45,1.55,1.57,0.94,0.52,2.61,1.57,2.19,0.81,3.25,,,,,,,,,,,
May,,,,,,,,,1.1,1.73,1.37,2.21,1.71,0.52,3.27,1.12,3.54,2.21,2,0.35,,,,,,,,,,,
June,,,,,,,,,0.86,1.06,1.22,2.48,3.54,2.78,0.72,0.96,4.24,3.28,1.83,1.81,,,,,,,,,,,
July,,,,,,,,,1.13,1.87,3.85,1.61,1.91,0.9,2.48,4,4.16,1.41,2.94,0.44,,,,,,,,,,,
August,,,,,,,,,1.69,1.01,3.49,0.89,3.92,0.61,0.8,2.26,2.48,5.69,2.56,2.07,,,,,,,,,,,
September,,,,,,,,,4.36,1.32,0.48,1.24,1.41,1.64,0.82,6.41,0.99,1.9,3.15,2.4,,,,,,,,,,,
October,,,,,,,,,0.57,3.45,0.58,2.71,1.48,0.97,0.88,1.44,5.39,4.41,2.41,1.82,,,,,,,,,,,
November,,,,,,,,,1.74,0.85,3.72,4.8,2.33,2.71,2.92,3.33,1.93,4.99,2.13,3.65,,,,,,,,,,,
December,,,,,,,,,1.19,1.43,1.26,1.7,2.91,2.97,3.23,3.88,2.29,1.9,2.34,2.23,,,,,,,,,,,
Total,,,,,,,,,,19.45,24.17,23.72,24.42,18.22,21.72,31.58,34.63,34.01,26.66,23,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge move 10/2/1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300' E of old site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
