FORTROSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH727566,Long,-4.130661,Lat,57.581447,Elevation,69,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,2.09,2.7,2.39,1.28,1.95,1.02,2.24,4,0.64,2.19,3.07,3.58,1.49,2.33,1.84,1.88,2.71,3.42,3.22,0.8,1.13,2.01,1.24,3.18,2.82,1.27,1.06,2.55,,
February,3.11,0.83,1.41,1.35,1.65,2.41,1.09,0.82,2.67,0.27,0.64,1.98,0.39,1.65,0.64,2.07,1.35,2.96,1.37,2.37,1.18,2.2,1.39,2.7,2.28,2.48,2.38,0.75,2.38,,
March,2.17,1.22,1.36,0.38,0.96,1.58,3.06,1.17,1.37,0.43,0.91,1.13,3.51,0.52,3.02,1.41,0.94,1.5,1.27,2.31,2.01,1.78,0.69,2.12,1.72,0.97,1.06,1.16,1.62,,
April,1.78,0.65,1.39,1.86,0.58,1.19,2.03,1.67,0.94,1.16,1.07,1.94,3.15,2.1,4.59,2.39,0.95,0.35,0.6,1.34,1.94,1.1,2.01,1.46,1.5,1.3,0.68,2.08,2.16,,
May,1.48,2.34,2.18,2.38,2.27,2.07,1.71,1.86,1.73,1.76,1.41,2.25,2.55,0.71,2.06,1,1.17,1.49,2.09,0.82,1.38,2.39,2.7,3.69,2.24,2.73,1.66,1.41,2.77,,
June,0.36,0.75,0.64,0.7,2.18,0.33,0.85,2.56,2.61,1.52,1.39,3.09,0.22,1.11,1.35,3.09,0.81,1.81,3.3,1.89,0.79,0.3,0.93,1.46,2.7,3.02,2.64,3.11,3.79,,
July,2.89,2.37,1.55,1.95,3.92,1.38,1.11,2.26,1.45,1.96,2.44,2.53,2.06,2.34,4.4,1.1,5.25,2.67,4.47,6.7,8.83,2.31,2.55,1.85,1.31,2.25,5.42,2.58,2.22,,
August,2.08,2.14,1.91,4.42,3.06,0.78,1.8,2.78,3.42,3.36,4.57,1.49,1.26,1,2.14,3.31,1.52,3.99,1.54,1.61,1.05,4.49,3.14,3.98,1.75,2.09,2.23,0.31,3.98,,
September,2.03,0.67,1.42,1.74,2.33,2.87,2.24,5.34,2.06,1.76,2.27,1.11,2.9,0.18,1.52,3.05,3.32,1.2,2.8,1.39,1.34,1.02,3.74,2.31,2.7,2.15,2.85,4.15,1.87,,
October,0.72,1.49,1.51,2.63,3.16,1.11,3.17,3.91,2.46,3.09,3.61,2.24,3.96,3.71,3.7,4.31,3.27,1.75,5.26,1.79,3.02,3.89,3.81,2.93,3.73,4.08,0.42,1.15,2.5,,
November,0.83,0.76,1.19,2.19,0.89,0.48,2.37,2.36,2.7,1.62,4.76,1.54,3.13,0.64,0.72,2.19,1.8,0.35,3.71,2.59,4.55,2.74,0.93,3,3.35,0.28,3.07,4.15,1.74,,
December,0.85,4.03,1.38,2.17,2.47,1.89,1.76,0.86,1.8,2.11,1.47,1.73,2.25,0.19,1.86,1.57,3.47,0.96,1.48,2.11,3.31,2.35,2.87,0.84,2.85,2.75,0.91,2.09,2.18,,
Total,,19.34,18.64,24.16,24.75,18.04,22.21,27.83,27.21,19.68,26.73,24.1,28.96,15.64,28.33,27.33,25.73,21.74,31.31,28.14,30.2,25.7,26.77,27.58,29.31,26.92,24.59,24,29.76,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge move 10/2/1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300' E od old site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No of small moves ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
over time not possible to plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
