"WEST RAYNHAM AIRFIELD",,,,,,,,,,,,
Grid ref,TF847245,Long,0.737447,Lat,52.786463,,,,,,,
Station no,1425/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.17,2.47,1.27,1.68,2.76,3.33,1.87,2.90,3.33,3.93,,
February,2.69,1.04,1.30,2.14,3.32,1.80,3.12,4.59,0.26,1.60,,
March,3.41,2.21,1.22,2.69,2.00,0.96,2.41,1.22,1.22,1.01,,
April,3.19,1.70,2.03,0.57,0.72,1.31,0.54,1.04,1.64,0.88,,
May,2.66,2.07,1.32,2.41,3.38,1.15,1.29,2.93,0.93,0.53,,
June,1.18,0.51,3.83,2.32,2.13,3.27,1.74,2.26,1.01,1.00,,
July,1.12,0.75,2.79,3.24,0.19,3.61,3.33,4.00,3.16,2.82,,
August,3.21,2.23,2.47,4.61,1.12,3.70,2.39,2.15,1.39,2.84,,
September,2.42,2.87,1.28,2.47,1.94,1.58,4.38,2.57,0.09,3.45,,
October,0.69,2.47,2.46,2.77,3.57,2.54,1.47,2.27,2.23,4.09,,
November,3.22,3.30,1.64,4.22,1.31,1.55,1.71,1.62,1.79,3.83,,
December,1.43,2.17,1.16,1.96,1.62,1.47,2.60,2.98,4.25,4.26,,
Total,28.39,23.79,22.77,31.08,24.06,26.27,26.85,30.53,21.30,30.24,,
Calc annual,28.39,23.79,22.77,31.08,24.06,26.27,26.85,30.53,21.30,30.24,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
