"GRANTOWN ON SPEY",,,,,,,,,,,,
Grid ref,NJ034277,Long,-3.606073,Lat,57.329568,,,,,,,
Station no,5674,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.44,2.84,1.92,4.16,1.40,1.82,1.69,2.08,2.15,3.68,,
February,2.36,3.40,0.79,3.32,1.96,2.42,2.26,1.71,4.23,1.58,,
March,2.78,2.30,3.34,2.95,0.88,3.81,3.06,1.87,5.24,4.32,,
April,2.26,2.13,1.27,2.74,2.33,2.90,1.84,2.57,4.21,3.38,,
May,1.43,1.24,4.47,1.86,2.26,1.63,5.75,2.56,1.28,2.39,,
June,2.38,4.02,3.42,1.96,1.10,0.56,1.31,5.20,1.81,1.27,,
July,4.24,2.19,4.35,4.08,1.21,2.25,1.81,2.77,2.39,4.22,,
August,3.67,3.70,3.37,3.65,3.88,3.45,4.33,3.44,2.17,2.18,,
September,2.47,0.85,1.44,2.79,1.93,1.70,1.45,0.93,5.65,2.12,,
October,3.44,3.07,2.60,3.95,1.31,4.33,4.97,3.08,0.45,4.53,,
November,2.56,3.40,0.89,3.11,2.62,3.76,7.17,1.78,3.13,2.26,,
December,3.11,5.31,4.12,0.84,2.76,1.07,3.23,1.19,1.39,3.06,,
Total,34.14,34.45,31.98,35.41,23.64,29.70,38.87,29.18,34.10,34.99,,
Calc annual,34.14,34.45,31.98,35.41,23.64,29.70,38.87,29.18,34.10,34.99,,
Difference,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
