GRANTOWN ON SPEY,,,,,,,,,,,,,,,,,
Grid ref,NJ026278,Long,-3.6187,Lat,57.3307,Elevation,700,ft,,,,,,,,,
Station no,5674/2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
January,,,,,,,,,,2.05,2.26,2.78,1.95,2.04,1.13,2.52,2.32
February,,,,,,,,,,2.58,2.96,2.12,2.17,1.62,4.12,2.49,2.04
March,,,,,,,,,,1.63,3.14,1.57,0.93,1.47,1.47,1.02,2.67
April,,,,,,,,,,3.74,5.44,1.58,2.14,1.69,1.18,1.44,1.59
May,,,,,,,,,,0.86,1.06,1.56,2.09,4.48,3.49,0.9,1.75
June,,,,,,,,,,2.03,2,2.21,3.42,3.12,1.13,2.34,3.85
July,,,,,,,,,,2.61,3.47,1.95,4.96,3.45,0.72,4.84,
August,,,,,,,,,,2.11,3.74,3.59,2.35,2.47,0.9,5.8,
September,,,,,,,,,,5.44,0.6,2.79,2.46,2.5,1.88,2.83,
October,,,,,,,,,,1.06,1.58,1.94,0.92,4.99,5.06,3.44,
November,,,,,,,,,,3.06,4.06,3.53,2.11,2.49,0.85,1.7,
December,,,,,,,,,,3.82,2.97,5.21,3.32,5.67,5.28,3.05,
Total,,,,,,,,,,30.99,33.28,30.83,28.82,35.99,27.21,32.37,
