GRANTOWN-ON-SPEY 3,,,,,,,,,,
Grid ref,NJ027273,Long,-3.617536,Lat,57.325828,Elevation,,ft,,
Station no,5674/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.61,4.48,2.76
February,,,,,,,,3.25,0.54,2.73
March,,,,,,,,2.05,0.84,0.74
April,,,,,,,,2.34,1.76,1.58
May,,,,,,,,2.5,1.13,0.49
June,,,,,,,,1.66,2.83,1.75
July,,,,,,,5.05,4.31,1.97,2.75
August,,,,,,,3.9,3.62,0.86,6.87
September,,,,,,,1.45,1.58,0.51,2.3
October,,,,,,,1.64,1.68,4.26,4.13
November,,,,,,,2.82,0.94,3.35,1.89
December,,,,,,,2.68,2.16,2.29,1.66
Total,,,,,,,,28.7,24.82,29.65
,,,,,,,,,,
Location uncertain,,,,,,,,,,
