"WAREHAM TRIGON",,,,,,,,,,,,
Grid ref,SY887888,Long,-2.161363,Lat,50.698731,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,0.40,,
March,,,,,,,,,,4.91,,
April,,,,,,,,,,1.34,,
May,,,,,,,,,,1.68,,
June,,,,,,,,,,2.94,,
July,,,,,,,,,,2.40,,
August,,,,,,,,,,3.29,,
September,,,,,,,,,,3.06,,
October,,,,,,,,,,7.27,,
November,,,,,,,,,,0.53,,
December,,,,,,,,,,5.29,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.11,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
