WAREHAM-TRIGON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY886889,Long,-2.162783,Lat,50.699628,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,3.79,3.71,,,,,,,,,,,,,,,,,,,,,,,,1.93,5.17,5.72,0.66,3.16,1.27,1.37,3.77,7.22,4.4,4.19,5.61,1.79,3.03,5.1,5.13,2.45,5.29,1.86,4.34,2.71,2.6,2.55,3.23,0.77,,6.41,4.06,6.1,3.82,4.68,4.19,8.14,2.3,2.07,3.56,3.18,6.32,1.03,0.86,3.36,2.08,0.85,1.87,3.92,5.54,2.76,4.43,4.9,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,0.52,1,,,,,,,,,,,,,,,,,,,,,,0.4,,2.23,3.38,1.68,4.74,6.04,5.18,0.87,1.61,3.4,0.42,0.67,2.81,7.31,0.46,5.33,2.22,3.58,2.81,1.13,0.97,2.21,0.09,4.73,0.07,3.17,,6.16,0.9,2,4.77,4.4,0.11,1.12,0.4,2.2,2.88,1.84,1.16,1.4,5.38,6.26,0.67,1.71,3.17,2.43,0.14,4.89,2.86,0.3,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,4.08,1.33,,,,,,,,,,,,,,,,,,,,,,,,1.9,5.38,2.83,5.87,0.81,4.23,3.1,1.51,4.58,2.59,1.32,2.72,1.86,1.81,0.92,0.64,3.55,3.35,0.14,1.27,1.29,1.99,3.82,3.16,0.98,,4.16,0.23,1.23,3.42,3.62,2.64,0.89,0.48,0.98,1.25,8.28,1.19,1.3,1.62,3.82,2.38,0.51,4.32,1.7,0.84,3.07,1.71,3.61,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.15,0.95,,,,,,,,,,,,,,,,,,,,,,1.34,,1.65,0.08,3.63,1.35,0.96,0.61,1.56,1.89,1.97,3.51,0.94,3.82,3.72,3.21,2.74,4.43,1.88,1.93,0.95,1.87,2.4,2.91,1.69,1.72,3.73,,2.47,0,2.52,1.42,1.99,2.11,0.99,1.75,0.7,2.58,2.35,1.59,1.98,2.64,2.8,1.71,2.37,0.08,0.59,1.78,0.21,0.42,2.77,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,3.64,1.65,,,,,,,,,,,,,,,,,,,,,,1.68,,1.02,1.55,2.14,1.24,2.35,1.78,3.46,1.92,0.63,1.53,2,0.7,1.96,5.06,3.61,2.65,1.12,1.58,2.28,3.59,3.13,2.84,1.25,0.75,1.39,,3.87,2,1.18,1.39,3.02,4.21,2.48,0.32,2.11,3.71,2.02,2.43,1.83,1.66,2.57,2.52,2.74,1.56,3.88,0.76,2.07,2.54,0.86,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,0.74,0.92,,,,,,,,,,,,,,,,,,,,,,2.94,,1.83,4.05,0.34,0.98,0.6,1.46,1.99,1.03,0.9,2.44,0.76,0.76,0.46,2.41,0.13,3.51,2.94,1.94,1.68,0.32,2.56,2.36,0.9,1.39,3.8,,0.5,0.59,2.8,0.24,2.17,0.38,0.82,2.29,2.81,3.22,1.71,2.22,0.74,0.91,0.17,0.67,2.17,2.64,2.23,1.93,2.4,3.55,1.19,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,3.05,0.78,,,,,,,,,,,,,,,,,,,,,,2.4,,0.21,3.03,0.8,4.09,3.86,1.25,2.51,4,2.19,4.97,0.53,4.52,0.81,3.15,3.06,1.94,2.2,1.75,1.09,2.09,4.01,2.21,2.23,0.57,0.41,,2.36,1.73,5.14,2.38,1.79,1.42,2.03,3.15,0.85,0.93,1.34,1.09,0.51,5.2,1.3,0.58,2.59,2.93,1.22,3.48,3.5,2.11,2.25,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,0.92,2.11,,,,,,,,,,,,,,,,,,,,,,3.29,,0.64,5.95,2.01,3.21,1.2,4.44,5.31,1.93,2.88,1.48,1.99,2.82,2.21,3.26,2.3,0.85,3.23,3.1,1.52,3.46,3.53,0.8,0.94,3.51,3.68,,2.09,2.19,2.6,0,3.75,4.82,1.97,2.97,1.91,3.86,0.99,3.65,1.03,3.45,4.58,2.56,1.86,2.83,0.62,3.55,2.63,3.56,2.04,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,3.84,2.47,,,,,,,,,,,,,,,,,,,,,,3.06,,1.28,2.82,2.43,1.76,1.82,2.87,1.49,7.24,1.6,1.57,0.84,1.82,2.69,3.23,3.45,0.66,6.44,2.6,0.5,3.64,1.55,3.64,2.15,2.81,3.54,,3.04,2.61,1.38,1.81,0.78,3.2,2.07,2.07,2.87,5.59,1.35,2.44,4.96,4.11,4.13,4.64,2.92,3.52,1.71,5.46,3.04,5.1,0.15,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,4.31,2.16,,,,,,,,,,,,,,,,,,,,,,7.27,,4.76,4.17,4.55,3.67,5.76,4.97,5.16,1.91,1.6,2.35,1.16,1.8,5.71,5.62,4.71,4.69,3.26,7.81,4.42,2.85,0.69,6.15,1.75,1.66,6.07,,5.19,3.77,6.09,5.21,1.04,5.46,4.88,4.31,4.27,1.52,1.49,2.3,7.66,1.32,1.02,5.06,3.61,2.99,5.73,1.78,2.76,3.36,3.52,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
