STURMINSTER-NEWTON-STOCK-HOUSE,,,,,,,,,,
Grid ref,ST721130,Long,-2.39823,Lat,50.9163,Elevation,270,ft,,
Station no,1624/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.26,4.51
February,,,,,,,,,0.69,4.44
March,,,,,,,,,5.29,2.44
April,,,,,,,,,3.69,2.51
May,,,,,,,,,1.7,1.68
June,,,,,,,,,1.07,1.85
July,,,,,,,,,1.27,4.22
August,,,,,,,,,1.53,5.38
September,,,,,,,,,0.14,5.87
October,,,,,,,,,3.82,11.25
November,,,,,,,,,5.3,10.14
December,,,,,,,,,10.02,5.5
Total,,,,,,,,,39.78,59.79
,,,,,,,,,,
1960 Note says total 8 to 10 inches high,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Stock House SRC_ID 7861,,,,,,,,,,
1959-1967,,,,,,,,,,
