BURNHEAD DUNDEE,,,,,,,,,,
Grid ref,NO 40496 30482,Long,-2.967241,Lat,56.462708,Elevation,30,ft,,
Station no,RR2979,,,,,,,,,
,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839
January,,,,,,,,1.98,,0.9
February,,,,,,,,2.55,,1.2
March,,,,,,,,1.02,5.75,2.8
April,,,,,,,,3.2,1.86,0.6
May,,,,,,,,1.33,3.16,1
June,,,,,,,,2.65,5.25,2.9
July,,,,,,,,4.94,2.34,4
August,,,,,,,,3.11,3.42,2.8
September,,,,,,,,1.8,1.89,4.9
October,,,,,,,,1.85,2.75,
November,,,,,,,,1.52,4.2,
December,,,,,,,2.07,3.26,1.82,
Total,,,,,,,,29.21,,
