BRIDGNORTH-COTON-HALL-1ST-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SO773863,Long,-2.335622,Lat,52.474154,Elevation,460,ft.,,,,,,,,,,,,
Station no,2291,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,0.44,3.38,2.04,2.43,1.6,1.8,4.05,,,,
February,,,,,,,,,,1.27,0.81,0,1.22,3.34,2,0.1,,,,
March,,,,,,,,,,1.76,1.15,1.31,0.59,0.68,1.11,1.81,,,,
April,,,,,,,,,,5.28,1.05,2.22,1.63,0.35,1.74,2.57,,,,
May,,,,,,,,,,2.81,1.85,4.29,2.95,2.36,3.11,0.36,,,,
June,,,,,,,,,,0.7,1.4,1.85,3.15,2.42,2.19,0.72,,,,
July,,,,,,,,,,1.35,2.59,1.34,1.84,1.63,2.57,2.73,,,,
August,,,,,,,,,,2.03,3.99,3.6,2.22,1.27,2.56,2.67,,,,
September,,,,,,,,,,2.25,1.16,1.43,2.47,0.83,2.26,0.53,,,,
October,,,,,,,,,,3.14,2.01,5.95,2.34,2.38,3.23,2.75,,,,
November,,,,,,,,,,0.66,2.32,2.62,1.69,1.54,3.47,3.71,,,,
December,,,,,,,,,,1.85,1.39,3.12,1.14,3.81,1.88,2.04,,,,
Total,,,,,,,,,,23.54,23.1,29.77,23.67,22.21,27.92,24.04,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is Coton Hall,,,,,,,,,,,,,,,,,,,,
2nd gauge overlaps from Feb 1894 and is noted as being 3ft. from the other 1st gauge,,,,,,,,,,,,,,,,,,,,
