"BRIDGNORTH COTON HALL",,,,,,,,,,,,
Grid ref,SO773863,Long,-2.335622,Lat,52.474154,,,,,,,
Station no,2291,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.99,1.64,1.11,2.52,2.54,0.76,3.77,0.95,0.65,1.00,,
February,4.25,1.41,1.43,1.49,3.95,0.83,1.56,1.24,1.30,0.57,,
March,0.85,2.37,1.21,4.15,1.68,3.20,0.96,0.97,3.09,2.71,,
April,0.98,1.91,2.02,1.56,1.27,2.05,1.22,2.43,2.97,1.81,,
May,1.66,1.09,2.91,4.51,3.30,0.57,2.36,2.84,3.56,0.93,,
June,2.33,2.67,2.66,1.53,0.59,3.13,2.36,2.81,3.39,4.11,,
July,2.25,1.58,1.30,1.90,2.18,1.72,0.83,2.42,1.95,2.69,,
August,2.90,2.15,5.01,4.29,2.43,4.68,0.98,2.82,3.47,1.95,,
September,0.99,1.18,1.28,3.65,2.03,1.33,0.91,0.58,2.31,3.16,,
October,3.16,1.77,2.75,5.50,1.09,1.29,4.13,5.97,1.48,3.10,,
November,2.24,1.29,2.77,1.59,1.23,2.80,2.57,2.88,1.83,0.57,,
December,4.29,4.31,1.71,2.02,1.60,0.70,1.77,2.86,2.32,4.13,,
Total,28.89,23.37,26.16,34.71,23.89,23.06,23.42,28.77,28.32,26.73,,
Calc annual,28.89,23.37,26.16,34.71,23.89,23.06,23.42,28.77,28.32,26.73,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
