CAWDOR BUDGATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH836494,Long,-3.9443,Lat,57.5206,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914
January,0.41,1.4,2.81,1.4,2.57,2.47,0.89,2.8,1.96,0.92,1.82,2.07,2.89,2.02,4.65,1.23,2.91,1.73,1.83,0.54,3.4,1.87,3.41,1.87,2.4,2.85,1.54,1.58,2.28,3.77,3.61,1.87,1.6,4.42,1.61,2.05,2.76,1.7,2.09,2.43,3.26,1.19,1.14,0.47,2.53
February,1.25,1.36,0.71,1.15,0.69,0.66,2.63,2.79,0.55,0.63,2.18,2.47,2.3,2.04,1.46,2.99,1.34,1.97,1.61,3.96,0.5,1.77,2.32,3.73,5.11,1.17,0.8,0.98,3.35,1.46,1.47,2.02,1.28,3.47,2.29,2.45,2.18,2.03,3.06,1.16,1.11,2.89,1.19,2.91,1.16
March,0.55,1.97,1.18,1.89,2.04,1.75,4.24,2.24,2.2,2.63,1.13,2.79,3.47,2.3,1.24,2.22,0.79,1.3,3.63,1.5,3.03,2.41,1.64,1.28,1.87,4.18,2.22,1.89,2.38,2.56,1.79,2.23,1.92,3.24,0.63,4.32,2.92,2.2,3.12,2.96,1.44,1.5,1.57,2.68,2.56
April,1.49,1.49,1.4,1,1.16,0.88,2.44,2.11,0.56,1.75,1.56,0.95,2.57,1.33,0.65,0.82,1.46,1.88,1.5,2.46,0.78,0.56,1.17,1.59,1.08,1.74,1.57,0.79,1.64,4.36,2.38,1.52,1.03,1.4,2.77,2.09,2.06,1.73,1.18,2.21,5.45,1.69,1.42,1.2,0.3
May,1.64,1.12,4.17,2.72,1.83,1.25,0.94,3.24,1.98,2.94,0.89,2.07,1.21,1.62,1.66,3.25,3.87,1.19,1.11,0.59,1.22,3.44,2.4,1.25,4.2,1.74,0.57,1.59,2.77,2.57,1.94,1.32,2.35,2.25,2.22,2.08,3.41,3.29,1.43,2.59,1.73,2.2,2.16,1.07,4.06
June,1.76,1.8,5.83,1.73,2.63,1.11,2.62,3.63,2.78,3.91,1.87,1.51,2.98,1.34,1.29,1.38,1.08,0.49,1.62,0.47,1.87,0.87,2.28,3.14,1.63,4.34,4.49,3.63,1.84,1.25,2.41,2.18,3.55,2.38,1.5,1.31,0.8,4.52,1.04,1.49,1.97,2.99,3.72,2.93,1.02
July,1.6,5.58,2.63,4.36,3.06,4.76,2.06,3.43,2,4.06,6.19,4.09,2.58,5.03,2.97,0.77,2.99,2.55,3.67,2.18,3.24,7.11,2.95,2.55,4.57,3.11,3.74,1.04,1.9,3.35,3.45,3.2,3.51,3.63,0.63,1.92,2.01,2.65,1.42,4.44,4.74,2.74,1.66,1.09,3.27
August,1.7,2.63,3.61,2.96,6.36,2.91,2.11,6.28,5.87,4.82,0.36,2.76,2.55,3.81,1.28,2.6,0.93,1.87,1.18,5.12,4.9,3.13,3.2,2.9,4.51,3.21,2.09,2.43,3.11,0.82,5.54,2.66,3.31,3.03,4.04,3.05,3.15,3.27,1.91,1.86,2.57,0.56,4.43,0.75,2.12
September,2.49,4.82,3.82,6.64,3.19,3.37,3.97,1.6,3.9,1.05,1.24,1.68,6.07,3.47,0.69,4.29,2.64,5,1.13,1.3,1.65,1.98,2.82,4.03,1.08,1.76,3.94,2.49,3.34,4.72,2.78,1.36,1.69,1.95,1.73,1.82,1.38,0.7,4.74,1.71,1.21,1.54,1.17,3.73,1.49
October,2.02,1.54,4.01,3.19,3.04,1.65,2.92,4.26,2.7,1.57,5.13,3.03,1.43,2.06,2.24,2.51,1.77,3.9,2.93,2.35,4.37,1.05,5.82,3.55,2.17,5.01,5.01,1.13,2.04,1.26,3.55,2.74,1.94,4.11,1.33,4.18,4.07,5.04,0.28,4.38,1.08,2.65,2.1,1.2,0.83
November,2.59,2.29,4.37,4.11,2.03,3.47,2.26,3.61,3.3,2.02,4.21,3.55,2.67,2.81,3.28,1,2.54,2.27,4.15,2.02,2.73,1.24,1.46,3.73,0.64,1.53,1.24,2.44,3.11,2.83,3.39,3.37,0.75,3.4,1.67,3.71,5.24,1.76,2,1.72,5.04,6.47,2.89,2.27,4.1
December,3.66,1.35,1.53,2.72,1.38,2.89,2.6,2.65,2.99,2.07,3.21,1.14,4.67,2.88,2.81,2.46,2.73,2.47,0.78,1.47,0.77,2.89,1.57,2.19,2.47,3.22,2.8,3.04,4.32,4.14,5.11,3.55,3.91,0.63,2.26,1.24,1.91,1.65,1.27,1.74,1.75,1.83,3.58,2.65,
Total,21.16,27.35,36.07,33.87,29.98,27.17,29.68,38.64,30.79,28.37,29.79,28.11,35.39,30.71,24.22,25.52,25.05,26.62,25.14,23.96,28.46,28.32,31.04,31.81,31.73,33.86,30.01,23.03,32.08,33.09,37.42,28.02,26.84,33.91,22.68,30.22,31.89,30.54,23.54,28.69,31.35,28.25,27.03,22.95,
