EDINBURGH (GRANTON),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT239765,Long,-3.2209833,Lat,55.975433,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5145/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.43,3.39,2.36,3.34,3.19,1.24,1.38,,2.2,1.86,3.08,,2.23,5.31,2.17,1.19,2.88,,,,,,,,,
February,,,,,1.4,2.38,2.95,0.52,1.41,0.94,2.97,,1.45,0.76,2.67,,2.27,2.08,1.18,2.16,1.87,,,,,,,,,
March,,,,,0.93,1.59,1.99,0.7,2.66,2.72,3.17,,1.68,0.44,0.85,,3.77,0.66,0.94,2.15,2.51,,,,,,,,,
April,,,,,3.11,1.44,1.44,0.12,1.52,1.89,,,0.94,2.07,1.18,,2.92,1.34,0.81,2.05,2.32,,,,,,,,,
May,,,,,0.93,0.57,1.34,4.21,0.78,1.21,,,3.41,2.03,3.86,,3.07,2.44,1.73,1.62,3.21,,,,,,,,,
June,,,,,2.92,0.9,1.66,2.85,1.23,0.62,,,2.39,1.52,1.49,,3.68,3.9,0.92,2.06,2.38,,,,,,,,,
July,,,,,0.53,3.8,3.83,2.91,2.3,7.32,,,2.77,2.8,3.37,,1.5,1.82,1.87,3.76,,,,,,,,,,
August,,,,,2.05,1.78,5.24,1.35,0.75,0.66,,,4.06,-999,2.25,,0.05,7.09,2.6,2.86,,,,,,,,,,
September,,,,,3.08,2.63,1.99,2.23,2.41,2.25,,,1.31,-999,4.68,,1.27,3.01,1.91,4.96,,,,,,,,,,
October,,,,,6.69,1.82,3.36,5.16,1.52,2.65,,,3.17,2.69,3.39,,1.51,1.79,4.23,1.97,,,,,,,,,,
November,,,,,3.63,2.37,0.28,4.13,3.35,3.64,,0.49,0.88,5.04,0.29,,2.76,2.96,2.2,3.19,,,,,,,,,,
December,,,,,1.25,2.34,2.47,2,0.78,2.32,,1.29,0.99,1.94,1.88,,1.79,2.06,4.21,2.28,,,,,,,,,,
Total,,,,,27.95,25.01,28.91,29.52,21.9,27.46,,,25.25,27.41,28.99,,26.82,34.46,24.77,30.25,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Jan 100 transcribed in error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Aug/Sept apportioned hence changed to -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
