GREENOCK WW (COMPENSATION RES.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS248723,Long,-4.804669,Lat,55.911805,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5310/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,7.8,11.96,8.53,11.26,4.14,7.17,10.59,10.52,5.23,4.22,1.37,10.83,7.94,8.48,5.33,10.29,7.79,9.71,9.6,5.26,6.85,7.71,4.89,8.28,4.89,4.19,8.34,8,2.18,5.24
February,6.8,0.02,7.33,1.61,9.86,4.5,7.18,4.4,9.07,2.95,6.82,2.22,7.1,2.56,9.09,4.06,1.63,7.21,7.92,7.12,4.23,3.05,3.45,6.69,4.29,2.08,4.33,5.16,2.79,6.44
March,1.94,2.55,4.98,3.86,2.83,4.53,1.77,7.55,4.11,5.21,3.54,5.73,3.62,1.47,4.67,3.34,5.09,7.28,3.55,4.45,5.17,4.93,1.91,5.11,2.86,3.39,6.86,2.21,4.16,3.88
April,3.06,6.13,4.69,5.15,4.23,2.15,3.53,1.06,3.98,3.28,3.35,3.29,4.89,4.35,2.49,3.4,8.92,4.2,9.41,4.25,3.98,3,2.9,3.89,6.01,2.13,3.16,2.71,5.28,7.4
May,5.54,2.93,4.45,5.31,0.97,3.15,2.1,4.77,1.87,0.78,2.9,3.87,4,5.76,5.75,1.7,5.36,2.24,2.94,2.01,2.48,2.15,3.61,3.96,5.14,4.09,2.49,5.11,1.45,3.26
June,8.15,2.07,3.43,4.03,4.12,2.45,4.56,7.97,2.4,1.02,1.9,3.04,4.65,5.88,4.47,4.44,4.65,6.54,1.71,2.72,2.57,4.59,1.76,5.31,4.38,3.43,2.9,4.27,3.74,3.55
July,6.01,4.54,5.32,3.85,3.74,7.99,5.14,5.68,6.36,2.9,3.72,4.97,2.68,5.32,6.24,4.57,5.53,7.04,3.26,6.24,4.42,3.44,7.04,4.09,1.59,5.8,6.51,7.17,7.21,6.73
August,2.74,4.09,5.06,6.65,3.48,4.24,4.29,3.63,2.76,2.77,6.4,6.76,9.52,4.47,2.91,3.82,0.03,9.15,5.94,7.1,4.37,5.9,6.26,6.21,1.52,6.11,5.31,5.51,1.65,4.12
September,2.12,6.62,0.93,7.7,9.18,4.56,4.83,5.83,3.3,3.95,2.04,8.07,5.66,6.65,6.92,8.39,6.74,9.64,3.15,11.5,5.5,4.89,8.43,9.85,6.36,5.17,4.15,5.05,1.98,4.38
October,7.16,9.05,3.52,11.49,14.72,8.49,3.62,12.32,4.93,8.04,7.17,9.39,13.05,7.27,8.11,0.53,3.73,11.73,8.37,7.54,2.09,7.07,5.2,11.18,6.29,3.96,6.97,5.82,7.24,4.04
November,8.89,6.55,4.28,4.21,7.23,5.94,1.99,12.69,10.29,9.34,7.28,1.47,4.1,8.96,0.87,7.77,9.42,5.89,7.94,5.24,9.3,2.68,10.81,9.8,3.87,3.32,3.09,2.92,7.75,9.42
December,8.34,12.8,2.52,11.57,5.63,11.26,4.36,6.94,2.38,9.41,4.45,10.97,3.74,7.46,6.24,8.47,4.1,9.32,11.45,2.15,11.08,7.46,7.17,8.18,10.31,9.55,8.21,8.21,11.86,7.74
Total,68.55,69.31,55.04,76.69,70.13,66.43,53.96,83.36,56.68,53.87,50.94,70.61,70.95,68.63,63.09,60.78,62.99,89.95,75.24,65.58,62.04,56.87,63.43,82.55,57.51,53.22,62.32,62.14,57.29,66.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 New Gauge 20 yds W of Old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
