BRITON-FERRY-BRYNSIRIOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS742944,Long,-3.819108,Lat,51.6343,Elevation,33,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.51,3.11,7.3,6.51,3.95,2.48,5.74,6.19,1.87,8,2.98,3.2,2.01,5.5,1.84,5.5,7.02,3.2,5.37,4.53,2.11,5.3,6.63,7.58,7.25,4.9,,5.44,4.06,7.97,5.6,11.43,2.7,7.95,5.11,6.29,3.18,5.97,1.19,6.48,5.72,6.25,6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,6.18,3.11,4.36,6.36,1.8,2.16,3.39,6.42,1.46,4.14,2.88,3.28,0.65,5.49,4.47,3.22,2.05,5.29,7.29,5.9,2.52,4.01,3.93,2.22,0.09,5.52,,0.7,8.41,4.96,3.9,5.58,1.86,0.6,4.93,0,5.67,0.62,5.31,1.94,6.59,2.73,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,5.57,1.7,2.08,1.13,2.39,3.38,7.48,2.38,6.69,3.59,1.91,4.61,4.6,1.05,2.55,7.05,6.99,7.67,1.49,2.63,2.46,2.39,5.26,6.2,4.47,4.3,,2.4,1.14,0.76,4.88,4.04,1.81,2.62,0.79,2.44,3.1,3.74,1.14,3.19,2.53,0.89,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,4.5,2.7,5.92,1.66,4.56,3.22,2.16,2.97,3.92,1.36,3.54,2.72,3.54,3.41,3.72,0.23,5.28,2.04,2.24,2.32,2.21,1.87,2.07,5.8,1.22,2.87,,4.38,3.48,2.08,2.96,1.11,0.79,3.33,2.6,2.52,2.65,3.59,5.34,3.47,3.33,0.11,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,2.15,3.48,4.09,3.17,1.14,2.73,3.04,3.66,0.38,6.55,3.21,3.19,1.7,2.16,2.02,1.7,3.43,2.97,2.56,3.22,2.8,2.22,1.45,3.34,1.91,2.53,,2.48,5.77,3.36,2.39,1.27,3.59,2.76,4.06,5.93,1.75,2.34,2.24,1.24,1.81,4.83,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,3.55,2.4,1.76,4.09,3.99,3.28,1.35,1.74,2.66,3.16,5.45,1.02,2.24,3.72,2.83,8.54,2.82,1.55,1.99,3.63,2.91,1.9,2.14,3.26,0.52,1.58,,2.39,0,2.3,4.76,4.53,3.03,2.17,4.6,2.72,2.07,1.9,5.83,2.58,2.26,2.66,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,2.16,1.67,1.94,1.72,1.19,3.13,3.8,3.8,2.2,2.49,2.53,5.19,3.82,4.1,0.46,4.2,0.8,5.31,5.66,1.59,3.28,5.96,0.58,7.73,2.07,5.73,,6.84,3.38,2.22,4.72,3.11,3.76,4.12,6.54,5.19,4.48,0.71,0.9,6.24,2.97,4.98,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,8.77,4.63,2.57,4.85,6.76,3.18,7.64,3.88,4.61,4.89,6.98,4.77,1.8,7.26,3.38,10.42,1.38,5.61,3.22,3.76,8.29,2.68,2.97,2.82,4.78,3.87,,6.44,8.11,4.89,6.04,4.74,3.92,6.58,5.2,0.88,1.22,4.02,2.1,1.29,0.71,4.13,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,7,2.29,2.51,1.79,3.78,1.85,6.08,4.42,2.01,1.79,1.14,3.29,4.84,0.17,3.16,1.16,3.33,3.08,1.63,3.22,2.86,11.77,2.82,4.15,2.92,5.07,,6.04,4.76,1.71,7.08,1.48,0.97,5.96,2.93,6.44,1.71,4.44,8.28,3.51,3.02,2.78,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,2.36,6.85,4.16,6.44,3.22,3.9,11.62,3.35,2.17,8.68,6.39,2.41,8.26,4,3.49,5.78,4.79,2.65,4.89,10.71,7.72,4.12,2.01,4.61,2.3,1.44,,5.99,5.4,4.4,3.48,11.14,7.91,8.23,1.5,9.4,8.19,3.51,6.48,2.41,3.82,7.36,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
