"LIBERTON ROYAL OBSERVATORY BLACKFORD HILL",,,,,,,,,,,,
Grid ref,NT259706,Long,-3.187320,Lat,55.922749,,,,,,,
Station no,5138,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.54,1.83,0.89,3.96,2.87,0.76,3.11,0.84,2.16,2.61,,
February,2.20,0.99,0.82,3.99,2.38,1.34,1.01,1.00,0.96,1.23,,
March,0.84,1.52,0.82,4.10,1.08,2.41,1.97,1.83,3.07,4.20,,
April,1.34,1.38,1.05,1.06,1.69,1.48,0.81,1.31,1.87,2.14,,
May,1.03,1.95,2.11,1.17,2.88,0.55,4.53,2.75,1.92,1.59,,
June,2.38,2.10,2.33,1.09,2.12,0.91,1.50,2.41,0.96,1.91,,
July,2.59,0.96,2.43,3.82,1.19,1.45,1.78,2.49,3.32,3.32,,
August,4.28,3.59,1.30,2.57,4.30,2.46,5.08,3.52,1.68,1.72,,
September,1.50,0.92,1.40,2.03,1.55,1.24,0.54,1.30,2.60,2.64,,
October,3.74,1.52,1.06,5.72,0.54,2.20,6.11,7.90,1.10,4.49,,
November,4.60,3.47,0.60,1.47,1.06,3.36,3.61,1.06,1.40,0.85,,
December,4.27,2.47,1.63,1.08,2.40,1.27,1.17,3.77,0.23,2.87,,
Total,31.31,22.70,16.44,32.06,24.06,19.43,31.22,30.18,21.27,29.57,,
Calc annual,31.31,22.70,16.44,32.06,24.06,19.43,31.22,30.18,21.27,29.57,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
