EDINBURGH ROYAL OBSERVATORY BLACKFORD HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT258706,Long,-3.18892,Lat,55.922733,Elevation,442,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,0.65,0.64,0.71,3.23,2.54,1.83,0.89,3.96,2.87,0.76,3.11,0.84,2.16,2.61,2.78,0.75,1.14,2.28,2.12,1.22,2.8,1.76,2.13,2.06,2.46,3.98,1.41,1.55,2.07,2.65,2.67,2.23,4.91,0.81,3.03,1.94,2.99,2.59,1.96,1.26,3.59,2.04,3.32,3.25,0.77,1.53,3.92,2.09,1.87,3.29,1.81,2.22,5.27,2.16,1.26,2.59,2.45,0.32,2.24,1.82,1.44,2.97,1.37,0.9,2.54,,
February,,,,,,,0.69,1.14,0.92,1.22,2.2,0.99,0.82,3.99,2.38,1.34,1.01,1,0.96,1.23,2.84,1.87,1.81,1.26,1.74,1.94,3.21,0.58,2.47,1.75,2.4,0.51,1.86,2.34,0.61,3.53,3.01,1.05,2.57,0.85,0.46,1.85,0.18,1.15,0.09,1.71,2.44,3.02,0.58,1.46,0.87,2.83,1.03,1.31,0.74,2.72,1.58,1.44,2.14,1.67,2.68,1.93,0.47,0.72,1.54,1.43,1.86,2.31,1.65,0.53,1.93,,
March,,,,,,,1.29,2.41,0.78,1.75,0.84,1.52,0.82,4.1,1.08,2.41,1.97,1.83,3.07,4.2,0.85,0.9,1.77,3.21,2.84,1.14,2.86,1.09,0.5,1.34,2.18,2.08,1.59,0.77,1.01,2.26,1.57,1.59,1.48,0.2,2.15,1.3,2.64,0.88,2.72,0.91,1.74,1.7,0.57,2.5,2.24,2.83,0.97,1.63,0.46,0.94,1.54,3.75,1.06,0.8,2.2,2.58,0.95,0.42,1.26,1.51,1.07,1.52,1.97,0.39,1.17,,
April,,,,,,,0.72,0.89,1.73,2.29,1.34,1.38,1.05,1.06,1.69,1.48,0.81,1.31,1.87,2.14,3.15,1,0.24,1.79,1.29,1.28,2.43,1.2,0.62,3.04,1.58,0.61,1.52,1.79,1.04,2.88,1.55,1.6,0.56,1.59,1.17,2.02,2.07,1.75,4.06,2.97,1.41,1.1,0.15,1.18,2.17,1.18,1.58,1,1.78,1.12,0.4,2.92,1.48,1.07,1.98,2.58,1.5,2.02,1.22,0.44,0.55,0.61,1.38,1.87,0.8,,
May,,,,,,,0.42,1.22,1.7,3.52,1.03,1.95,2.11,1.17,2.88,0.55,4.53,2.75,1.92,1.59,1.46,1.07,1.42,1.18,1.93,1.34,3.36,1.47,2.93,0.66,2.23,1.64,0.67,1.53,4.46,4.29,3.33,2.1,1.43,1.34,1.22,2.77,2.83,1.66,1.24,0.93,0.83,2.52,4.18,0.97,1.7,3.04,1.47,3.25,2.43,3.91,1.89,2.93,2.34,1.9,1.89,3.04,1.7,1.79,4.49,2.11,0.57,1.55,1.97,0.41,1.37,,
June,,,,,,,3.16,4.07,1.3,1.31,2.38,2.1,2.33,1.09,2.12,0.91,1.5,2.41,0.96,1.91,1.13,2.5,3.94,1.49,1,1.58,3.01,1.51,0.42,1.7,1.04,0.35,1.7,1.06,1.76,0.46,2.95,2.98,5.18,2.49,1.81,4.25,1,1.88,2.47,2.15,1.28,1,2.87,1.31,0.46,0.91,1,1.74,2,1.57,1.65,2.97,4.02,1.01,1.69,1.41,2.43,1.5,2.29,0.74,2.29,1.17,3.3,1.99,1.04,,
July,,,,,,,3.99,1.53,1.15,3.68,2.59,0.96,2.43,3.82,1.19,1.45,1.78,2.49,3.32,3.32,3.92,0.96,2.01,0.46,2.35,2.72,5.18,1.41,3.56,0.62,3.86,2.2,3.74,2.86,4.22,1.92,2.76,2.22,2.11,2.22,3.9,3.57,1.9,4.78,2.83,0.62,4.36,5.37,2.43,2.33,8.26,2.98,3.19,2.5,3.12,2.33,3.05,1.92,1.94,2.71,3.11,3.5,2.23,4.6,1.69,1.56,5.21,4.83,6.47,2.45,2.47,,
August,,,,,,,1.73,3.55,3.16,0.4,4.28,3.59,1.3,2.57,4.3,2.46,5.08,3.52,1.68,1.72,5.17,1.19,4.75,1.44,1.48,5.67,4.05,4.77,1.57,1.53,5.33,3.84,1.47,4.31,3.05,3.46,1.95,6.79,4.85,3.72,5.18,5.58,0.37,0.84,3.27,2.53,1.19,4.13,1.15,1.36,0.74,2.91,2.21,3.5,2.77,3.13,3.59,0.19,9.4,3.33,2.32,5.27,4.53,2.03,5.33,1.05,6.79,2.9,3.11,0.4,4.42,,
September,,,,,,,3.86,1.52,1.97,2.89,1.5,0.92,1.4,2.03,1.55,1.24,0.54,1.3,2.6,2.64,0.69,1.17,2.6,2.16,0.57,2.73,1.47,1,4.4,2.23,1.47,1.61,1.73,1.6,2.81,4.39,4.11,7.91,2.17,0.35,4.16,1.98,2.48,1.87,1.69,3.24,2.92,1.64,2.15,1.48,2.35,0.96,2.64,1.23,4.78,3.2,3.02,1.27,2.58,1.75,4.75,0.88,1.88,2.64,3.41,1.21,3.83,1.53,2.29,0.47,1.22,,
October,,,,,,,3.95,1.11,3.44,1.18,3.74,1.52,1.06,5.72,0.54,2.2,6.11,7.9,1.1,4.49,2.16,3.26,2.49,1.48,1.23,2,4.53,2.62,2.78,2.37,0.87,3.8,1.68,1.8,3.39,1.83,3.35,3.13,3,3.04,3.17,1.41,5.82,2.25,3.27,6.38,1.35,3.87,4.5,1.99,2.28,3.2,2.55,2.97,2.35,3.6,0.86,1.22,1.61,4.25,2.07,0.52,1.46,1.28,6.17,1.44,1.54,1.9,0.93,1.66,2.84,,
November,,,,,,,0.45,1.86,3.57,2.4,4.6,3.47,0.6,1.47,1.06,3.36,3.61,1.06,1.4,0.85,2.38,4.4,1.62,1.97,2.62,0.99,3.17,2,1.31,4.99,1.9,0.99,1.2,2.25,1.11,0.81,3.05,1.4,2.98,3.6,3.81,4.16,1.56,1.44,0.93,3.8,2.11,0.24,4.46,3.51,3.69,1.89,0.56,0.85,5.13,0.32,3.29,2.9,2.33,3.51,3.37,4.23,2.07,3.06,2.84,0.75,0.65,2.28,1.08,4.45,2.09,,
