EDINBURGH ROYAL OBSERVATORY (CARLTON HILL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT261742,Long,-3.1838,Lat,55.9551,Elevation,347,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,3.69,1.48,0.85,0.26,0.35,0.5,1.29,1.7,0.52,1.46,0.27,0.94,0.29,1.24,0.23,0.43,0.26,0.52,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.08,0.35,0.73,0.95,1.69,0.74,0.51,0.75,0.97,0.86,0.26,0.69,0.19,0.51,0.08,1.02,1.17,3.25,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.08,0.35,1.19,1.01,1.04,1.05,0.3,0.83,0.98,1.09,0.81,1.79,0.43,0.81,2.1,0.76,0.34,0.56,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,2.03,0.73,1.55,2.53,0.27,1.83,0.99,0.51,1.18,0.63,0.57,0.74,1.42,0.37,0.1,0.63,1.12,1.47,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.51,2.06,1.09,0.37,1.62,1.44,0.31,1.46,1.75,3.26,1.03,0.41,1.62,1.23,1.21,1.99,1.22,2.09,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.26,1.65,3.6,0.98,1.08,1.8,1.38,0.43,0.21,1.58,0.23,1.85,1.19,1.78,0.36,2.13,1.44,1.93,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,3.53,0.54,5.36,2.83,2.45,2.67,3.27,3.94,0.47,2.12,1.91,4.51,3.01,1.53,2.33,0.52,1.94,2.12,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,6.46,3.53,2.21,0.19,5.2,1.06,2.29,1.72,2.2,0.89,1.04,1.09,4.06,2.96,3.44,3.8,2.19,2.99,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,3.42,0.84,1.96,0.86,1.74,3,1.33,1.59,1.57,1.36,1.4,4.58,0.42,0.52,0.67,2.73,0.56,1.02,0.24,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,1.6,1.63,1.21,0.81,2.34,0.95,1.7,1.07,0.74,0.61,2.36,0.91,0.55,2.12,1.98,0.81,3.01,2.4,1.75,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
