"EDINBURGH (BLACKFORD HILL)",,,,,,,,,,,,
Grid ref,NT259706,Long,-3.187320,Lat,55.922749,,,,,,,
Station no,5138,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.59,2.45,0.32,2.24,1.82,1.44,2.97,1.37,0.90,2.54,,
February,1.93,0.47,0.72,1.54,1.43,1.86,2.31,1.65,0.53,1.93,,
March,2.58,0.95,0.42,1.26,1.51,1.07,1.52,1.97,0.39,1.17,,
April,2.58,1.50,2.02,1.22,0.44,0.55,0.61,1.38,1.87,0.80,,
May,3.04,1.70,1.79,4.49,2.11,0.57,1.55,1.97,0.41,1.37,,
June,1.41,2.43,1.50,2.29,0.74,2.29,1.17,3.30,1.99,1.04,,
July,3.50,2.23,4.60,1.69,1.56,5.21,4.83,6.47,2.45,2.47,,
August,5.27,4.53,2.03,5.33,1.05,6.79,2.90,3.11,0.40,4.42,,
September,0.88,1.88,2.64,3.41,1.21,3.83,1.53,2.29,0.47,1.22,,
October,0.52,1.46,1.28,6.17,1.44,1.54,1.90,0.93,1.66,2.84,,
November,4.23,2.07,3.06,2.84,0.75,0.65,2.28,1.08,4.45,2.09,,
December,2.45,2.74,3.26,2.67,4.02,2.37,2.11,3.99,2.52,2.49,,
Total,30.98,24.41,23.64,35.15,18.08,28.17,25.68,29.51,18.04,24.38,,
Calc annual,30.98,24.41,23.64,35.15,18.08,28.17,25.68,29.51,18.04,24.38,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
