VENTNOR-STEEPHILL-COVE-(CASTLE-ROAD),,,,,,,,,,
Grid ref,SZ557774,Long,-1.21444,Lat,50.593679,Elevation,170,ft,,
Station no,592/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.35,5.13,3.66,
February,,,,,,,4.38,3.3,0.37,
March,,,,,,,2.13,1.39,2,
April,,,,,,,0.4,0.55,2.17,
May,,,,,,0.42,0.71,2.9,0.73,
June,,,,,,2.5,2.34,3.22,0.53,
July,,,,,,2.21,4.06,1.36,2.08,
August,,,,,,4.78,2.86,4.2,1.76,
September,,,,,,3.98,4.75,3.27,0.24,
October,,,,,,1.59,2.74,2.52,3.57,
November,,,,,,0.95,2.56,3.05,4.27,
December,,,,,,5.54,3.12,3.9,7.17,
Total,,,,,,,32.4,34.79,28.55,
,,,,,,,,,,
1956 Moved 0.75 miles NE from station number 592/5,,,,,,,,,,
Exact house unknown This is the NGR from the sheet,,,,,,,,,,
1959 Low but accept,,,,,,,,,,
1959 Dec Station closed,,,,,,,,,,
1960 Jan 21 Inspection Over exposed down steep terraces to due S but over sheltered all other directions by trees and house,,,,,,,,,,
