BRIDLINGTON CORPORATION NURSERIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA175673,Long,-0.205,Lat,54.088,Elevation,59,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952
January,,1.39,0.74,2.81,1.58,3.15,3.31,1.79,3.24,0.74,3.00,2.14,3.07,2.99,2.64,4.15,1.77,2.36,1.49,2.48,2.16,3.99,2.45,2.88,2.98,1.17,1.47,1.61,2.41,4.13,4.10,2.62,3.60,1.97,3.00,4.71,3.66,1.75,4.44,1.71,2.21,5.14,0.82,1.59,2.50,2.46
February,,2.35,1.27,2.21,0.94,1.52,0.68,0.96,3.23,2.76,0.86,1.98,1.15,1.01,0.27,3.09,3.57,1.54,2.47,1.71,1.53,1.56,1.13,1.22,2.65,0.64,3.22,2.21,3.09,3.09,3.17,1.17,1.19,1.90,3.96,1.41,0.32,2.58,1.60,2.03,2.33,1.05,0.86,3.83,2.74,1.21
March,,2.30,4.79,0.92,2.09,2.62,2.87,1.91,1.30,2.89,1.75,1.26,3.73,2.29,0.87,2.25,1.38,1.15,1.81,0.57,1.49,2.89,0.12,2.11,0.57,2.16,2.02,2.69,0.72,1.24,3.49,0.23,2.73,2.33,3.17,0.57,0.57,0.42,0.56,1.53,3.91,0.93,1.33,1.14,3.11,2.71
April,,2.56,2.10,1.73,1.01,0.21,1.74,0.54,0.83,1.00,2.11,1.77,1.85,3.85,1.07,1.05,1.49,1.52,2.49,1.29,2.48,1.50,1.24,2.99,3.13,3.44,1.10,2.41,2.63,1.93,2.94,0.31,1.63,2.75,1.13,1.09,1.12,2.12,2.24,1.15,2.11,1.30,2.06,2.63,1.77,1.31
May,,1.47,1.62,2.53,1.09,3.22,2.22,1.44,1.46,2.90,0.76,2.54,1.06,2.20,2.37,1.00,3.15,3.44,2.22,1.73,0.97,1.46,1.14,1.44,2.40,5.20,2.12,0.75,0.64,1.83,4.76,3.06,2.15,0.85,1.68,3.87,2.39,0.77,1.68,1.24,0.65,1.73,2.08,1.81,3.23,1.17
June,,1.16,3.83,1.23,3.55,4.34,0.90,1.32,0.34,2.09,0.92,0.64,1.15,0.88,0.23,1.74,0.86,1.42,0.15,3.41,3.12,4.10,1.57,1.97,2.93,0.37,1.37,1.32,2.29,2.68,1.31,2.17,4.73,0.61,0.45,1.26,1.50,1.98,2.14,1.96,2.25,3.84,1.03,0.89,1.45,2.06
July,,1.83,2.85,1.97,0.99,2.93,0.97,2.47,5.96,2.33,1.03,2.70,2.04,5.17,0.94,5.01,3.34,4.04,1.11,2.12,2.88,0.57,1.22,5.13,3.53,1.88,1.47,1.66,0.35,3.92,2.69,2.73,2.99,5.08,2.14,2.19,0.82,1.51,0.90,2.10,1.06,1.69,1.58,3.38,1.66,2.07
August,,2.37,4.70,2.82,2.92,3.78,0.99,2.79,2.46,1.54,5.38,1.95,2.48,1.60,3.39,3.31,2.73,2.57,2.47,2.36,5.51,3.52,2.29,2.78,2.94,2.01,0.30,2.36,1.40,1.83,1.14,2.79,1.72,1.20,4.26,1.52,3.19,3.86,3.06,3.07,0.83,4.42,2.76,3.99,6.23,2.07
September,,1.55,1.30,0.70,3.12,2.13,0.55,1.47,1.30,1.14,0.62,4.74,1.74,1.84,0.72,2.75,2.03,1.86,3.20,1.38,3.85,0.50,0.30,4.60,3.87,3.09,2.35,1.90,4.46,2.29,1.63,1.54,2.13,1.69,0.91,2.14,3.42,4.55,2.24,4.43,1.50,1.86,0.95,2.91,1.39,4.73
October,,1.10,3.24,2.80,1.96,2.91,2.68,2.25,1.11,2.62,3.13,1.18,5.02,1.67,1.62,1.40,1.68,3.72,1.89,3.74,1.53,3.01,2.08,1.72,1.75,3.13,5.29,1.98,4.80,2.05,2.84,3.54,4.00,3.45,3.72,1.96,1.57,2.48,2.35,1.82,0.69,1.80,3.08,1.26,1.44,3.01
November,,1.41,1.24,4.23,3.50,2.72,2.38,2.76,3.36,2.74,1.72,1.41,2.51,0.58,4.01,1.87,2.88,1.72,4.31,2.74,3.84,2.60,3.52,3.90,2.38,1.60,2.19,3.22,4.48,3.27,3.42,3.03,3.65,4.09,3.15,1.31,3.28,3.98,1.04,5.39,2.29,0.99,4.18,4.02,4.28,4.59
December,,2.73,5.10,2.47,3.70,1.68,1.46,4.79,5.13,3.51,1.49,4.40,3.41,3.16,1.79,2.68,3.26,2.13,4.71,1.34,2.12,1.58,4.65,2.33,1.58,1.28,1.02,4.35,2.57,2.29,5.58,4.33,3.67,3.85,0.87,2.09,1.18,2.43,1.40,3.17,1.95,2.01,2.21,4.93,2.01,2.54
Total,24.88,22.22,32.78,26.42,26.45,31.21,20.75,24.49,29.72,26.26,22.77,26.71,29.21,27.24,19.92,30.30,28.14,27.47,28.32,24.87,31.48,27.28,21.71,33.07,30.71,25.97,23.92,26.46,29.84,30.55,37.07,27.52,34.19,29.77,28.44,24.12,23.02,28.43,23.65,29.60,21.78,26.76,22.94,32.38,31.81,29.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The grid reference on the 1950s sheet seems to have transposed two digits.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The nursery is shown on old OS maps at TA175673 rather than TA173675.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IDR Sep 1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# IDR Dec 1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
