BATTLE-NETHERFIELD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ723183,Long,0.45094329,Lat,50.938404,Elevation,420,ft,,,,,,,,,,,,,
Station no,555,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.63,5.58,1.41,3.87,2.91,3.12,2.38,3.53,1.22,5.88,7.07,5.38,,
February,,,,,,,,3.73,1.76,1.16,1.47,2.64,0.31,2.13,0.22,5.03,2.22,6.31,0.97,,
March,,,,,,,,4.75,1.96,0.03,1.97,0.61,1.74,2.8,3.48,0.55,1.48,4.08,0.71,,
April,,,,,,,,2.25,2.31,0.84,1.83,3.32,2.64,1.1,2.4,3.99,2.13,3.21,0.55,,
May,,,,,,,,0.72,2.39,2.64,2.97,2.24,2.87,2.37,0.55,1.83,0.41,2.66,,,
June,,,,,,,,5.21,3.33,1.78,1,1.53,1.58,1.5,1.83,2.2,3.41,1.99,,,
July,,,,,,,,3.71,1.36,1.84,4.46,3.2,4.96,1.87,1.2,0.59,5.38,1.44,,,
August,,,,,,,,5.37,1.61,2.64,4.45,3.67,1.01,0.94,2.35,5.46,1.25,2.03,,,
September,,,,,,,,5.52,0.39,1.32,3.74,1.98,2.88,4.56,1.63,5.92,2.92,2.56,,,
October,,,,,,,,2.51,8.15,4.5,2.61,0.71,9.06,2.15,3.06,5.73,1.76,3.93,,,
November,,,,,,,,3.58,5.26,8.28,6.45,5.45,1.63,1.6,3.54,8.15,5.22,1.27,,,
December,,,,,,,,5.06,3.47,8.11,3.83,1.07,0.67,0.87,10.2,5.21,3.18,4.35,,,
Total,,,,,,,,45.04,37.57,34.55,38.65,29.33,32.47,24.27,33.99,45.88,35.24,40.9,,,
