SCAWTON RECTORY,,,,,,,,
Grid ref,SE551838,Long,-1.156,Lat,54.247,Elevation,605,ft
Station no,RR6542,,,,,,,
,,,,,,,,
,1918,1919,1920,1921,1922,1923,1924,
January,,3.78,3.43,3.16,4.31,2.16,2.65,
February,,1.40,1.10,0.18,3.16,5.80,1.93,
March,,3.04,2.66,1.57,2.14,2.06,1.41,
April,,1.95,4.38,1.64,2.30,2.13,2.10,
May,,1.10,2.58,1.84,1.06,3.05,5.26,
June,,1.44,1.36,0.36,2.52,0.81,1.96,
July,,2.87,5.98,1.70,5.44,3.00,4.34,
August,2.38,2.63,2.79,4.73,3.22,4.56,3.45,
September,6.52,1.40,1.39,1.72,2.67,3.44,2.88,
October,1.81,5.23,2.58,1.62,1.25,3.25,5.29,
November,2.03,2.69,1.38,2.29,1.44,3.60,2.57,
December,4.81,4.02,4.03,2.42,4.15,3.72,4.04,
Total,,31.55,33.66,23.23,33.66,37.58,37.88,
,,,,,,,,
TYRain_1910-1919_21_pt1/025,,,,,,,,
TYRain_1920-1930_24_pt1/007,,,,,,,,
