"TROTTISCLIFFE (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TQ640595,Long,0.351648,Lat,51.310985,,,,,,,
Station no,366,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.00,2.52,1.19,1.90,3.56,4.90,1.67,3.29,2.78,3.18,,
February,6.94,0.97,1.67,2.43,2.29,1.05,4.21,2.93,0.12,2.17,,
March,4.03,3.54,0.27,2.94,1.44,0.91,1.51,1.56,1.73,1.68,,
April,3.22,1.39,2.86,0.20,0.19,0.96,0.11,1.70,2.07,0.71,,
May,1.95,0.89,2.13,1.80,3.79,0.94,1.56,1.79,1.94,2.38,,
June,1.11,1.34,1.89,3.63,1.91,2.24,1.39,3.42,0.68,1.56,,
July,2.66,0.56,3.41,2.79,0.99,2.41,3.71,1.36,1.66,3.44,,
August,3.63,3.58,1.57,2.70,0.58,2.97,1.98,3.10,0.93,4.17,,
September,3.66,3.47,3.23,1.83,2.68,4.79,2.62,3.15,0.23,3.40,,
October,0.73,3.16,2.68,1.77,4.90,1.32,1.42,3.22,2.79,7.10,,
November,4.66,5.48,1.19,4.87,0.90,1.11,3.54,1.59,4.20,4.80,,
December,2.71,2.82,0.91,1.84,2.00,3.74,2.39,3.33,5.05,3.67,,
Total,38.30,29.72,23.00,28.70,25.23,27.34,26.11,30.44,24.18,38.26,,
Calc annual,38.30,29.72,23.00,28.70,25.23,27.34,26.11,30.44,24.18,38.26,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
