HUTTON (GREENWAY),,,,,,,,,,,,
Grid ref,TQ619949,Long,0.337749,Lat,51.629621,,,,,,,
Station no,1285/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.11,1.63,1.07,1.31,,,,,,,,
February,6.04,0.79,1.45,2.38,,,,,,,,
March,3.40,3.45,0.57,2.45,,,,,,,,
April,2.88,1.43,2.41,0.44,,,,,,,,
May,2.54,1.71,1.75,2.20,,,,,,,,
June,0.92,2.21,1.55,3.20,,,,,,,,
July,1.53,0.73,3.79,2.90,,,,,,,,
August,4.26,2.26,1.83,3.61,,,,,,,,
September,2.93,3.57,2.42,2.38,,,,,,,,
October,0.85,2.49,3.24,1.88,,,,,,,,
November,4.24,4.27,0.89,3.85,,,,,,,,
December,2.10,2.49,0.83,1.42,,,,,,,,
Total,33.80,27.03,21.80,28.02,,,,,,,,
Calc annual,33.80,27.03,21.80,28.02,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
