"SHEFFORD HARDWICK",,,,,,,,,,,,
Grid ref,TL140394,Long,-0.339291,Lat,52.041287,,,,,,,
Station no,1172,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.04,1.38,0.90,,
February,,,,,,,,1.02,1.00,0.36,,
March,,,,,,,,0.80,2.61,2.55,,
April,,,,,,,,2.07,2.97,1.21,,
May,,,,,,,,3.50,1.48,1.40,,
June,,,,,,,,1.64,1.03,4.43,,
July,,,,,,,,2.09,2.47,2.74,,
August,,,,,,,,2.12,2.45,2.00,,
September,,,,,,,,0.61,1.43,1.96,,
October,,,,,,,3.18,3.28,1.73,4.00,,
November,,,,,,,3.83,1.90,0.76,0.76,,
December,,,,,,,1.90,2.55,1.31,2.83,,
Total,,,,,,,,22.62,20.62,25.14,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,8.91,22.62,20.62,25.14,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
