CROSS-IN-HAND-MONTPELLIER (HOMELEA),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ569210,Long,0.23310715,Lat,50.967057,Elevation,475,ft,,,,,,,,,,,,
Station no,RR6723,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,1.07,1.2,3.41,2.85,1.16,2.79,4.26,3.1,1.5,3.23,,
February,,,,,,,,,2.28,2.97,1.44,0.06,1.91,4.31,2.37,0.36,0.31,2.95,,
March,,,,,,,,,4.19,1.94,2.56,2.89,1.4,0.48,1.84,2.29,2.83,4.78,,
April,,,,,,,,,1.59,2.88,3.81,0.51,1.53,0.03,2.43,2.21,0.98,2.66,,
May,,,,,,,,,1.56,1.45,2.08,3.4,0.55,0.59,1.56,0.2,0.4,1.76,,
June,,,,,,,,,3.83,0.4,5.04,2.17,2.92,1.49,2.07,0.25,3.82,2.37,,
July,,,,,,,,,5.14,2.83,4.36,3.5,2.49,3.29,5.77,4.13,0.81,0.38,,
August,,,,,,,,3.19,2.13,2.99,3.65,6.15,3.54,0.88,2,3.69,2.05,,,
September,,,,,,,,3.16,1.13,1.4,1.21,1.05,2.66,3.77,4.25,0.9,6.43,2.77,,
October,,,,,,,,1.75,2.55,8.91,1.61,6.41,7.2,4.6,4.56,3.85,5.81,0.41,,
November,,,,,,,,5.63,5.38,1.45,3.69,3.39,3.23,3.19,5.08,5.32,1.53,1.34,,
December,,,,,,,,2.8,2.31,1.72,0.85,3.95,2.6,3.07,2.73,4.26,5.26,3.86,,
Total,,,,,,,,,33.16,30.14,33.71,36.33,31.19,28.49,38.92,30.56,31.73,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location changed name to Homelea from 1897 Sep),,,,,,,,,,,,,,,,,,,,
